,Date,Content,Section
0,2011-01-01,Tacita Dean at the Common Guild - review,artanddesign
1,2011-01-01,This week's new exhibitions,artanddesign
2,2011-01-01,Exhibitionist: The week's art shows in pictures,artanddesign
3,2010-12-31,Guardian Camera Club: Teleri Williams on food photography,artanddesign
4,2010-12-31,Top tips: utilities,artanddesign
5,2010-12-31,Video: Camera club - utilities,artanddesign
6,2010-12-31,Guardian Camera Club: utilities,artanddesign
7,2010-12-31,January assignment: utilities,artanddesign
8,2010-12-30,Guardian Camera Club: Emma Fraser on food photography,artanddesign
9,2010-12-30,Artist of the week 119: Huma Bhabha,artanddesign
10,2010-12-30,High culture within walking distance,artanddesign
11,2010-12-29,Guardian Camera Club: CS Miao on food photography,artanddesign
12,2010-12-29,It's time to give Joan Miró his due again,artanddesign
13,2010-12-29,2010: the year in pictures,artanddesign
14,2010-12-28,Juiced in time: Bacchus,artanddesign
15,2010-12-27,Andy Warhol's elder brother dies aged 85,artanddesign
16,2010-12-26,Analog – review,artanddesign
17,2010-12-24,The BBC's MR James adaptation could be the ghost at the Christmas feast,artanddesign
18,2010-12-23,Brian Stewart obituary,artanddesign
19,2010-12-23,Guardian Camera Club: Matthew Phypers on food photography,artanddesign
20,2010-12-23,Shapes in the snow: a winter's walk in Yorkshire Sculpture Park,artanddesign
21,2010-12-23,"They've shaped the internet, but can designers save the newspaper?",artanddesign
22,2010-12-22,Guardian Camera Club: Natasha Kelly on food photography,artanddesign
23,2010-12-22,Artist of the week 118: Salla Tykkä,artanddesign
24,2010-12-22,Video: The art of Arabic calligraphy,artanddesign
25,2010-12-22,The streets have stolen a march on modern art,artanddesign
26,2010-12-21,Carsten Höller: deer of perception,artanddesign
27,2010-12-21,"Top dog: portrait of chocolate labrador forebear could fetch $80,000",artanddesign
28,2010-12-21,Featured photojournalist: Ariana Cubillos,artanddesign
29,2010-12-21,Winter solstice: See the light on the darkest day,artanddesign
30,2010-12-20,Another view on Gauguin: Maker of Myth,artanddesign
31,2010-12-20,Napoleon-proof your home: convert a Martello tower,artanddesign
32,2010-12-20,"Call that art? No, Dan Flavin's work is just simple light fittings, say EU experts",artanddesign
33,2010-12-20,Snow and sunshine create a kind of winter art | Jonathan Jones,artanddesign
34,2010-12-20,Guardian Camera Club: Louise Holgate on food photography,artanddesign
35,2010-12-20,Guardian Camera Club: Paul Gortazar's Portfolio,artanddesign
36,2010-12-19,Nam June Paik: Watch with Buddha,artanddesign
37,2010-12-19,Rubens painting once owned by victim of the Nazis is to stay in Britain,artanddesign
38,2010-12-19,"I visited the Uffizi gallery at 17, and was awestruck. Now it's exhibiting my art…",artanddesign
39,2010-12-19,"Masdar City, Abu Dhabi: the gulf between wisdom and folly",artanddesign
40,2010-12-19,Ideas for modern living: typeface,artanddesign
41,2010-12-19,Nam June Paik at Tate Liverpool – art review,artanddesign
