,Date,Content,Section
0,2010-12-31,Thousands of Australians evacuated in Queensland floods,australia-news
1,2010-12-29,Hundreds of Australians evacuated in Queensland's worst floods for decades,australia-news
2,2010-12-23,Australia says sorry to doctor wrongly detained on terrorism charges,australia-news
3,2010-12-16,Australian police to investigate asylum-seeker boat deaths,australia-news
4,2010-12-15,"Refugees who travelled 6,000 miles in search of a better life",australia-news
5,2010-12-15,Australia's hardline asylum policy,australia-news
6,2010-12-15,Boat carrying asylum seekers wrecked on Christmas Island,australia-news
7,2010-12-15,Asylum seekers die as boat sinks off Australia's Christmas Island,australia-news
8,2010-11-19,Businessman plans to use Australia's camels to make footballs,australia-news
9,2010-11-18,Australian woman found wounded beside dead twin,australia-news
10,2010-11-08,A bush bargain? Remote Australian town offers houses for next-to-nothing to lure families – DIY skills essential,australia-news
11,2010-10-11,New inquest into dingo baby case,australia-news
12,2010-09-13,Australia bans pro-euthanasia TV advert,australia-news
13,2010-09-07,Australia's 'rainbow coalition' can expect a bumpy ride,australia-news
14,2010-09-07,"Flooding hits Victoria, Australia",australia-news
15,2010-09-07,Julia Gillard to lead Australian government,australia-news
16,2010-09-07,Australian election: Greens key to success of new government,australia-news
17,2010-09-07,Australia: Two independent MPs announce support for parties,australia-news
18,2010-09-03,Ex-British policeman jailed in Australia for throwing his wife from cliff,australia-news
19,2010-08-28,Australia's hung parliament hands power to forgotten farmers in the outback,australia-news
20,2010-08-22,Horse-trading begins as Australia votes for a hung parliament,australia-news
21,2010-08-22,John Burton obituary,australia-news
22,2010-08-22,Australian PM starts coalition talks,australia-news
23,2010-08-21,Australia faces hung parliament as Julia Gillard's Labor party suffers losses,australia-news
24,2010-08-21,Australia election results point to hung parliament,australia-news
25,2010-08-20,Psychic crocodile tips Julia Gillard as tasty victor in Australian election,australia-news
26,2010-08-20,Australia gears up for federal election,australia-news
27,2010-08-20,Australian election set to be closest in 50 years,australia-news
28,2010-08-18,Australian election: breakthrough forecast for Greens,australia-news
29,2010-08-16,Julia Gillard launches Labor campaign five days before Australian election,australia-news
30,2010-08-13,Julia Gillard and Tony Abbott face photo finish in Australian election,australia-news
31,2010-08-09,South Australia calls on Britons aged 18-30 to take unusual jobs,australia-news
32,2010-08-08,Tony Abbott plays immigration card in Australia's general election campaign,australia-news
33,2010-07-30,Australian election gets personal with attacks on Gillard,australia-news
34,2010-07-20,Masterchef puts Abbott and Gillard in their place in Australian TV schedules,australia-news
35,2010-07-20,Australia reduces visa places for skilled workers in migration policy review,australia-news
36,2010-07-17,Julia Gillard calls snap Australian election,australia-news
37,2010-07-05,Torres Strait islanders win ocean rights,australia-news
38,2010-06-26,How Australia's postwar promise of a land of opportunity came true for Julia Gillard's family,australia-news
39,2010-06-24,Julia Gillard joins a list of female world leaders,australia-news
40,2010-06-23,Aboriginal film decries threat to ancestral customs from Australia's water scarcity,australia-news
41,2010-06-20,Australian mining tycoon Ken Talbot goes missing over Africa,australia-news
42,2010-05-26,Baby survives after train hits pram at Melbourne railway station,australia-news
43,2010-05-18,Eyewitness: Trouble on the horizon,australia-news
44,2010-05-15,"Jessica Watson, the girl who sailed round the world, comes home to cheers",australia-news
45,2010-05-03,Spider-Man catches thief in Adelaide bookshop,australia-news
46,2010-04-27,Australian schoolgirl survives deadly box jellyfish stings,australia-news
47,2010-04-19,Australia's baby-faced killer Carl Williams dies in jail,australia-news
48,2010-04-19,Carl Williams killed in Australian high-security prison,australia-news
49,2010-04-14,Two Chinese merchant officers charged with damaging Great Barrier Reef,australia-news
50,2010-04-11,Arrests as ship is sailed into protected waters around Great Barrier Reef,australia-news
51,2010-04-06,The Great Barrier Reef scandal,australia-news
52,2010-04-05,British holidaymaker drowns at Sydney beach,australia-news
53,2010-04-05,Salvage experts work to stabilise Chinese ship aground on Great Barrier Reef,australia-news
54,2010-02-19,Australia threatens legal action over Japanese whaling,australia-news
55,2010-02-15,Loft insulation: Australia's burning issue,australia-news
56,2010-02-15,Australian anti-migrant campaigner Pauline Hanson to emigrate,australia-news
57,2010-02-15,Five Muslims jailed over Australia terror plot,australia-news
58,2010-01-29,Anglers prevail in tussle with sharks and crocodile,australia-news
59,2010-01-25,The Rev Peter Thomson obituary,australia-news
60,2010-01-17,In the line of fire: one year after the Australian bushfires | Will Storr,australia-news
61,2010-01-06,Indian man's burnt remains found on rural Australian road,australia-news
62,2012-01-02,Sir Zelman Cowen obituary,australia-news
63,2011-12-20,Dingo baby case that divided a nation could be closed at last,australia-news
64,2011-12-14,Australia's broadcast standards minister swears on live TV - video,australia-news
65,2011-12-13,Problems follow Western Australia's mining successes,australia-news
