,Date,Content,Section
0,2011-01-01,My hero: Kate Bush by David Mitchell,books
1,2011-01-01,Readers recommend their favourite books of 2010,books
2,2011-01-01,"Book club, week three: The Secret Diary of Adrian Mole, Aged 13¾",books
3,2011-01-01,The year's bestsellers,books
4,2011-01-01,Sasha Abramsky: the house of books,books
5,2011-01-01,Days and Nights in W12 by Charles Boyle – review,books
6,2011-01-01,Ten of the best: noses,books
7,2011-01-01,The publishing year: the ones that got away,books
8,2011-01-01,Sue Arnold's audiobook choice,books
9,2011-01-01,Apollo's Angels: A History of Ballet by Jennifer Homans – review,books
10,2011-01-01,The London Train by Tessa Hadley - review,books
11,2011-01-01,Granta 113: The Best of Young Spanish-Language Novelists – review,books
12,2011-01-01,"The House at Sea's End, Dark Side, Bar Balto and The Dead Women of Juárez - review",books
13,2011-01-01,An Object of Beauty by Steve Martin – review,books
14,2011-01-01,Snowdrops by AD Miller – review,books
15,2011-01-01,Et cetera: non-fiction roundup,books
16,2011-01-01,The Mind's Eye by Oliver Sacks – review,books
17,2011-01-01,The Ancient Guide to Modern Life by Natalie Haynes – review,books
18,2011-01-01,London Stage in the Nineteenth Century by Robert Tanitch – review,books
19,2011-01-01,How to Read the Air by Dinaw Mengestu - review,books
20,2010-12-31,Guardian Books podcast: Garrison Keillor sings his sonnet in our look forward to books coming in 2011,books
21,2010-12-31,Beginning a new year of reading,books
22,2010-12-31,Top books news hits of 2010,books
23,2010-12-30,John Sutherland's top 10 books about books,books
24,2010-12-30,A quick look at 2010 in short stories,books
25,2010-12-29,The many forms of Dickens's Great Expectations,books
26,2010-12-28,A book token is worth a thousand words (or more),books
27,2010-12-27,Girl gang's grip on London underworld revealed,books
28,2010-12-27,Poem of the week: 'My Grandmother's Opal' by Grevel Lindop,books
29,2010-12-27,What happened next? A novel success,books
30,2010-12-27,Letters: Breaking trust over the book fund,books
31,2010-12-26,"Call to bring Bothwell, the forgotten Braveheart, back to Scotland",books
32,2010-12-26,"Diana Athill is still a rebel at 93, and ready to take on the Archbishop of Canterbury about God",books
33,2010-12-26,How a Mancunian taxi driver taught me the true meaning of friendship | Jackie Kay,books
34,2010-12-26,From Moscow to Cuba and Beyond by Jeanne Sutherland – review,books
35,2010-12-25,Booktrust faces uncertain new chapter after decision to phase out funding,books
36,2010-12-25,Writers furious at plan to axe free books scheme for children,books
37,2010-12-24,Season's readings: Readers' favourite Christmas books,books
38,2010-12-24,'Snow' by Carol Ann Duffy,books
39,2010-12-24,This government has set its face against reading,books
40,2010-12-24,Guardian Books podcast: Review of the Year 2010,books
41,2010-12-24,Top shelf material,books
42,2010-12-24,Gillian Clarke 'stunned' at winning Queen's gold medal for poetry,books
43,2010-12-23,Season's readings: Three stories by Saki,books
44,2010-12-23,Small Island by Andrea Levy,books
45,2010-12-23,John Crace's books quiz of 2010: The answers,books
46,2010-12-23,American Psycho idea: the serious novel as musical,books
47,2010-12-23,Letters: Plenty of praise for the King James Bible,books
48,2010-12-22,Season's reading: Little Women by Louisa May Alcott,books
49,2010-12-22,Nikesh Shukla's top 10 Anglo-Asian books,books
50,2010-12-21,Why the London Review of Books must not drop its personal ads,books
51,2010-12-21,Government withdraws all funding for book-gifting programmes,books
52,2010-12-21,Season's reading: I Sing of a Maiden,books
53,2010-12-21,Writing at night,books
54,2010-12-21,Julian Assange reported to have sold memoirs,books
55,2010-12-21,Pedophile's Guide author faces obscenity charges,books
56,2010-12-21,Digested read: The Bed of Procrustes by Nassim Nicholas Taleb,books
57,2010-12-21,Day of protest planned against library closures,books
58,2010-12-20,John Wyndham: The unread bestseller,books
59,2010-12-20,Andy Mulligan talks Trash,books
60,2010-12-20,"Season's readings: Secunda Pastorum, from the Towneley Cycle of miracle plays",books
61,2010-12-20,Poem of the week: 'Shadows in the Water' by Thomas Traherne,books
62,2010-12-19,"Grant Morrison, The Invisibles and the comics that put novels in the shade",books
63,2010-12-19,Author Cathal Morrow to float himself on the Stock Exchange,books
64,2010-12-19,Social media: Literary luvvies come over all aTwitter about tweeting,books
65,2010-12-19,Writers in prison: when having an opinion becomes a crime,books
66,2010-12-19,The House of Mirth by Edith Wharton – review,books
67,2010-12-19,"Armistead Maupin:  Barbary Lane, barbarism and the Vatican",books
68,2010-12-19,1222 by Anne Holt – review,books
69,2010-12-19,Why western authors are in love with Mother Russia,books
70,2010-12-19,Twelve Steps to a Compassionate Life – review,books
71,2010-12-19,Role Models by John Waters – review,books
72,2010-12-19,Letters From London and Europe by Giuseppe Tomasi di Lampedusa – review,books
73,2010-12-18,Sue Arnold's audiobook choice – reviews,books
74,2010-12-18,"My hero: Sefton, by Jilly Cooper",books
75,2010-12-18,The future is digital,books
76,2010-12-18,Carols for Christmas,books
77,2010-12-18,A Universal History of the Destruction of Books by Fernando Báez – review,books
78,2010-12-18,The War that Killed Achilles by Caroline Alexander – review,books
79,2010-12-18,Critical eye: book reviews roundup,books
80,2010-12-18,Ten of the best: Alps,books
81,2010-12-18,A Seventh Man: Migrant Workers in Europe by John Berger and Jean Mohr – review,books
82,2010-12-18,First novels: Catherine Taylor's roundup - reviews,books
83,2010-12-18,"The Book of Istanbul, edited by Jim Hinks and Gul Turner – review",books
84,2010-12-18,"John Milton: Life, Work and Thought by Gordon Campbell and Thomas N Corns - review",books
85,2010-12-18,Et cetera: Steven Poole's non-fiction choice – reviews roundup,books
86,2010-12-18,The Windup Girl by Paolo Bacigalupi – review,books
87,2010-12-18,Tree of Codes by Jonathan Safran Foer – review,books
88,2010-12-18,The Bedside Guardian – review,books
89,2010-12-18,Green's Dictionary of Slang by Jonathon Green and Guardian Style by David Marsh & Amelia Hodsdon – review,books
90,2010-12-18,Sports books for Christmas - review,books
91,2010-12-18,Music books for Christmas - review,books
92,2010-12-18,"The Secret Diary of Adrian Mole, Aged 13¾ by Sue Townsend",books
93,2010-12-18,Atlas of Remote Islands by Judith Schalansky and Infinite City by Rebecca Solnit – review,books
94,2010-12-18,Guardian Review literary quiz answers,books
95,2010-12-17,Keith Richards's literary life is the way forward for biography,books
96,2010-12-17,Season's readings: Stick Man by Julia Donaldson and Axel Scheffler,books
97,2010-12-17,What the months of the year mean to me,books
98,2010-12-16,Tips for topping up a writer's income,books
99,2010-12-16,Season's readings: 'The Oxen' by Thomas Hardy,books
100,2010-12-16,"Gallery: The history of Dan Dare, Pilot of the Future",books
101,2010-12-16,The Guardian Review literary quiz,books
102,2010-12-16,Terms and conditions for Guardian Review's literary quiz,books
103,2010-12-16,Jane Austen gets Google doodle tribute,books
104,2010-12-16,"Nearly done with novel, nearly done in | AL Kennedy",books
105,2010-12-15,Michael Samuels obituary,books
106,2010-12-15,What's poetry's role in protest politics?,books
