,Date,Content,Section
0,2010-12-31,Cardiff New Year's Eve events map,cardiff
1,2010-12-30,Dates for your diary – next Cardiff Bloggers Meet-up,cardiff
2,2010-12-29,Daylight saving bill in Cardiff – is it about time?,cardiff
3,2010-12-28,Spotlight: Life for African Mothers,cardiff
4,2010-12-27,Spotlight: Zumba craze hits Cardiff,cardiff
5,2010-12-24,Christmas Eve opening times Cardiff,cardiff
6,2010-12-23,Spotlight: Homelessness in Cardiff,cardiff
7,2010-12-22,Cardiff Dogs Home prepares for annual influx of abandoned Christmas mutts,cardiff
8,2010-12-21,Literary Christmas events in Cardiff,cardiff
9,2010-12-20,Christmas events in Cardiff,cardiff
10,2010-12-17,Signing off for the holiday: Community spirit keeps vulnerable safe in cold snap,cardiff
11,2010-12-17,Opposition leader criticises council decision making process,cardiff
12,2010-12-17,Cardiff snow: Updated,cardiff
13,2010-12-17,Community safety teams get ready for Black Friday,cardiff
14,2010-12-17,"Cardiff today: Term ends, Black Friday and Christmas countdown begins",cardiff
15,2010-12-16,Rumney residents have turkey dinner,cardiff
16,2010-12-16,Slideshow: Butetown regeneration,cardiff
17,2010-12-16,"In Chapters, Christmas - review",cardiff
18,2010-12-16,Slideshow: Cardiff Rivers Group brave freezing temperatures to clean Taff,cardiff
19,2010-12-16,Cardiff council's chief executive takes 29 ward walks around the city,cardiff
20,2010-12-16,"Cardiff today – Here comes the freeze, planning news and a cheaper Christmas",cardiff
21,2010-12-15,A Cardiff Story: A migrant city,cardiff
22,2010-12-15,Bus shelter destroyed by Royal Mail van,cardiff
23,2010-12-15,Campaigners 'disappointed' at Rumney Rec decision vow to continue fight,cardiff
24,2010-12-15,"Cardiff today – Oxfam Christmas gig, Sherman Cymru fundraiser and new Cardiff playwright showcase",cardiff
25,2010-12-14,Public consultation into Cardiff Central Bus Station launches,cardiff
26,2010-12-14,Inspector rejects village green status for Rumney Recreation Ground,cardiff
27,2010-12-14,"Cardiff today – UWIC protest, Christmas brews, and burlesque club",cardiff
28,2010-12-13,Cardiff co-operative takes over closed wholefoods shop Pulse,cardiff
29,2010-12-13,Awards celebrate local heroes,cardiff
30,2010-12-13,Cardiff councillor calls for ban on anti-Muslim US preacher,cardiff
31,2010-12-13,"Cardiff today – Voluntary sector Sink or Swim finale, and Christmas macarons",cardiff
32,2010-12-10,Signing off for the weekend: Community and Christmas events,cardiff
33,2010-12-10,'Beatles in the Cap? I remember the screaming girls' - Cardiff man tells the story of this weekend 45 years ago,cardiff
34,2010-12-10,Cardiff students join London tuition fees protest,cardiff
35,2010-12-10,Council uses half grit stock in cold snap,cardiff
36,2010-12-10,Tell us about your Christmas and New Year's events in Cardiff,cardiff
37,2010-12-10,Police appeal to drivers de-icing cars after vehicle stolen from woman's grip,cardiff
38,2010-12-10,"Cardiff today: Lego comes to cardiff, No Place Like Home and Christmas Fayres",cardiff
39,2010-12-09,Cardiff Central MP Jenny Willott resigns over tuition fees,cardiff
40,2010-12-09,Cardiff choir create new Welsh carol for Christmas concert,cardiff
41,2010-12-09,Spotlight: Friends and neighbours,cardiff
42,2010-12-09,Environmental Cardiff: Community groups discuss Cardiff's development,cardiff
43,2010-12-09,"Cardiff today: Community cuts, interpreting day and Dj workshop",cardiff
44,2010-12-08,New Friday mornings project tackles Taff fly tipping,cardiff
45,2010-12-08,Cardiff students make final stand ahead of tuition fee vote,cardiff
46,2010-12-08,A Cardiff story: A Clark's Pie dynasty,cardiff
47,2010-12-08,Man and woman charged over fire death of seven-year-old boy in Canton,cardiff
