,Date,Content,Section
0,2013-12-05,Transport in Europe: how does it differ by city?,cities
1,2013-09-03,Boom and bus: how public transport can curb road deaths as our cities grow | Claudia Adriazola,cities
2,2013-08-13,Hyperloop train plans unveiled by PayPal founder Elon Musk - video,cities
3,2013-08-08,In search of Australia's best cycling city,cities
4,2013-07-31,Medellín: the fast track from the slums,cities
5,2013-07-19,Detroit: a city in decline - in pictures,cities
6,2015-01-03,Global campaign aims to inspire British cities to choose 100% clean energy,cities
7,2014-12-30,What I want from our cities in 2015: public spaces that are truly public,cities
8,2014-12-30,Bangs for their bucks: which city has the biggest New Year's Eve fireworks?,cities
9,2014-12-29,What I want from our cities in 2015: a severe tax on empty homes,cities
10,2014-12-22,The top city stories of 2014,cities
11,2014-12-22,"Songdo, South Korea: the world's first smart city - in pictures",cities
12,2014-12-22,The smartest cities rely on citizen cunning and unglamorous technology,cities
13,2014-12-19,Five cities where planning went right,cities
14,2014-12-18,Lego: can this most analogue of toys really be a modern urban planning tool?,cities
15,2014-12-17,The best neighbourhood murals around the world – readers' pictures,cities
16,2014-12-17,"The truth about smart cities: ‘In the end, they will destroy democracy'",cities
17,2014-12-17,'Nobody cycles across Mumbai.' But why?,cities
18,2014-12-16,Real street food: Mongolian Khuushuur,cities
19,2014-12-16,Inside Beijing's airpocalypse – a city made 'almost uninhabitable' by pollution,cities
20,2014-12-15,The 10 best city books of 2014,cities
21,2014-12-15,What an Ebola curfew looks like,cities
22,2014-12-12,"In Beijing, residents move underground to find affordable rents",cities
23,2014-12-12,'There’s land if you want it': how a hand-drawn map is transforming vacant lots in Brooklyn,cities
24,2014-12-12,Moscow embraces 'hipster Stalinism',cities
25,2014-12-11,London's post-war reconstruction plan promised 'new order and dignity',cities
26,2014-12-11,Bike share and the living wage: Your ingredients for a liveable city,cities
27,2014-12-11,Kabul – the fifth fastest growing city in the world – is bursting at the seams,cities
28,2014-12-10,"In Manila, malls aren't passe – they are the city itself",cities
29,2014-12-10,Pruitt Igoe: Blowing up this St Louis housing project was easier than demolishing the myth it created,cities
30,2014-12-10,An urbanist's guide to Mexico City: ‘Transport is an adventure and often a nightmare’,cities
31,2014-12-09,Bethlehem syndrome: understanding the little town of 'Brand Holy Land',cities
32,2014-12-09,The symbolic simplicity of Mexico City's metro signs,cities
33,2014-12-08,Melbourne floats a public surfing park,cities
34,2014-12-08,Neighbourhood murals: share your pictures and stories,cities
35,2014-12-08,Chicago's Wall of Respect: how a mural elicited a sense of collective ownership,cities
36,2014-12-08,What makes a liveable city?,cities
37,2014-12-08,Is Jan Gehl winning his battle to make our cities liveable?,cities
38,2014-12-05,Ebenezer Howard's three magnets,cities
39,2014-12-05,"If women built cities, what would our urban landscape look like?",cities
40,2014-12-04,This 'hero shot' of Shanghai’s future skyline projects China's success,cities
41,2014-12-04,"A new breed of resilience: 'In the 21st century, crisis may be the new normal'",cities
42,2014-12-03,Dubai's Palm Jumeirah islands only look like palm trees from space – but that doesn't matter,cities
43,2014-12-03,St Louis aims to ease social tensions as it joins 100 Resilient Cities programme,cities
44,2014-12-02,Bicester residents fear garden city plan will put strain on local services,cities
45,2014-12-02,The best urban parks in the US – your pictures and stories,cities
46,2014-12-02,100 Resilient Cities project ready to reveal 35 new urban strongholds,cities
47,2014-12-02,The architects of apartheid,cities
48,2014-12-01,The iconic origins of Brazil's capital city,cities
49,2014-12-01,How images shape our cities,cities
50,2014-11-28,Guardian Cities Mumbai: day five,cities
51,2014-11-28,The SlumGods of Mumbai: ‘hip-hop has brought us to the world’,cities
52,2014-11-28,'Slum' is a loaded term. They are homegrown neighbourhoods,cities
53,2014-11-28,Open Mumbai: how PK Das set out to map the city's slums,cities
54,2014-11-28,"Mumbai street vendors: 'Cops work in shifts, so I have to bribe each one'",cities
55,2014-11-28,"'God gave us so many fish, but he gave us so much ocean too'",cities
56,2014-11-28,"In Mumbai, the wealthy elite's willingness to show off has reached new extremes",cities
57,2014-11-28,D'kloset closes: how the only gay shop in Mumbai lost its fight for survival,cities
58,2014-11-28,The dockland redevelopment: Mumbai's last big chance?,cities
59,2014-11-27,Guardian Cities Mumbai: day four,cities
60,2014-11-27,Aditya Thackeray: 24-year-old scion of India’s controversial political dynasty,cities
61,2014-11-27,"'In India cricket is a religion, but football is a way of life'",cities
62,2014-11-27,Mumbai's dawn runners: the race for space on the city streets,cities
63,2014-11-27,Street kid kitchen: Mumbai black daal and chicken in coconut,cities
64,2014-11-27,Mumbai skywalks: are these elevated paths 'ugly caterpillars' or precious public space?,cities
65,2014-11-27,Cricket v football: Mumbai decides,cities
66,2014-11-27,Why Mumbai should get over its obsession with cars,cities
67,2014-11-27,‘Being a taxi driver in Mumbai is one of the lowest class of jobs’,cities
