,Date,Content,Section
0,2010-12-31,"Annotated solutions for Prize 25,197",crosswords
1,2010-12-27,"Azed slip No 2,010",crosswords
2,2010-12-18,"Prize crossword No 25,197",crosswords
3,2010-12-17,"Annotated solutions for Prize 25,191",crosswords
4,2010-12-10,"Annotated solutions for Prize 25,185",crosswords
5,2010-12-06,Counting the letters,crosswords
6,2010-12-06,Annotated solutions for Genius 89,crosswords
7,2010-12-03,"Annotated solutions for Prize 25,179",crosswords
8,2010-11-29,"Azed slip No 2,006",crosswords
9,2010-11-26,"Annotated solutions for Prize 25,173",crosswords
10,2010-11-19,"Annotated solutions for Prize 25,167",crosswords
11,2010-11-12,"Annotated solutions for Prize 25,161",crosswords
12,2010-11-05,"Annotated solutions for Prize 25,155",crosswords
13,2010-11-01,Transatlantic understandings,crosswords
14,2010-10-29,"Annotated solutions for Prize 25,149",crosswords
15,2010-10-22,"Annotated solutions for Prize 25,143",crosswords
16,2010-10-15,"Azed slip No 2,000",crosswords
17,2010-10-15,"Annotated solutions for Prize 25,137",crosswords
18,2010-10-08,"Annotated solutions for Prize 25,131",crosswords
19,2010-10-05,Oxford v the Rest,crosswords
20,2010-09-28,"Azed slip No 1,997",crosswords
21,2010-09-25,Azed: a giant among crosswords,crosswords
22,2010-09-06,Fair trade in crosswords,crosswords
23,2010-08-04,What lies behind Quick puzzles,crosswords
24,2010-08-03,"Azed slip No 1,988",crosswords
25,2010-07-06,"Azed slip No 1,984",crosswords
26,2010-07-05,Thinking positively (and negatively),crosswords
27,2010-06-08,"Azed slip No 1,979",crosswords
28,2010-06-07,To cheat or not to cheat | Hugh Stephenson,crosswords
29,2010-05-04,Cute language used with children | Hugh Stephenson,crosswords
30,2010-05-03,"Azed slip No 1,975",crosswords
31,2010-05-03,"Crossword celebration: the Guardian publishes its 25,000th cryptic puzzle",crosswords
32,2010-04-07,"Azed slip No 1,971",crosswords
33,2010-04-06,It's all in the lateral prefrontal cortex | Hugh Stephenson,crosswords
34,2010-03-01,Some cross words | Hugh Stephenson,crosswords
35,2010-03-01,"Azed crossword slip No 1,967",crosswords
36,2010-02-01,Crosswords as social work,crosswords
37,2010-01-04,RP RIP?,crosswords
38,2012-01-02,Happy 2012 for all crossworders  ...,crosswords
39,2011-12-29,Crossword blog: 10 things I've learned from crosswords in 2011,crosswords
40,2011-12-29,"Azed slip No 2,062",crosswords
41,2011-12-24,"Prize crossword No 25,514",crosswords
42,2011-12-23,"Annotated solutions for Prize 25,508",crosswords
43,2011-12-22,Crossword roundup: Yule clues,crosswords
44,2011-12-19,Crossword roundup: Beautiful minds,crosswords
45,2011-12-16,"Annotated solutions for Prize 25,502",crosswords
46,2011-12-15,Crosswords: the meow meow of the 1920s,crosswords
47,2011-12-12,Crossword roundup: Raving at the close of day,crosswords
48,2011-12-08,Cryptic crosswords for beginners: Soundalikes,crosswords
49,2011-12-06,"Azed slip No 2,058",crosswords
50,2011-12-05,Crossword roundup: Make you feel my love,crosswords
51,2011-12-05,Cooking problems,crosswords
52,2011-12-01,Crossword blog: meet the setter - Tramp,crosswords
53,2011-11-28,Crossword roundup: Can Tarp help neets?,crosswords
54,2011-11-24,Crossword blog: What does 'A' mean and what means 'A'?,crosswords
55,2011-11-21,Crossword roundup: occupational hazards,crosswords
56,2011-11-19,"Prize crossword No 25,484",crosswords
57,2011-11-17,Cryptic crosswords for beginners: Double definitions,crosswords
58,2011-11-14,Crossword roundup: Eggs and chestnuts,crosswords
59,2011-11-11,"Annotated solutions for Prize 25,472",crosswords
60,2011-11-10,Crossword blog: meet the setter - Anax,crosswords
61,2011-11-07,What's allowed?,crosswords
62,2011-11-07,Crossword roundup: loos in clues,crosswords
63,2011-11-04,"Annotated solutions for Prize 25,466",crosswords
64,2011-11-03,Crossword blog: meet Anne R Bradford,crosswords
65,2011-10-31,Crossword roundup: Should themes be announced?,crosswords
66,2011-10-26,"Azed slip No 2,053",crosswords
67,2011-10-24,"Crossword roundup: E-ologisms, anyone?",crosswords
68,2011-10-20,Crossword blog: Where do you solve?,crosswords
69,2011-10-14,"Annotated solutions for Prize 25,448",crosswords
70,2011-10-13,Crossword blog: Meet the setter - Enigmatist,crosswords
71,2011-10-07,"Annotated solutions for Prize 25,442",crosswords
72,2011-10-06,Cryptic crosswords for beginners: Hidden answers,crosswords
73,2011-10-03,Words and meanings,crosswords
74,2011-09-29,Crossword blog: Why the NYT puzzle is always on its best behaviour,crosswords
75,2011-09-27,"Azed slip No 2,049",crosswords
76,2011-09-23,"Annotated solutions for Prize 25,430",crosswords
77,2011-09-22,Crossword blog: Meet the setter - Paul,crosswords
78,2011-09-16,"Prize crossword No 25,430",crosswords
79,2011-09-16,"Annotated solutions for Prize 25,424",crosswords
80,2011-09-15,Crossword blog: Which newspaper is most crossword-friendly?,crosswords
81,2011-09-09,"Annotated solutions for Prize 25,418",crosswords
82,2011-09-07,"Azed slip No 2,045",crosswords
83,2011-09-06,"Scooters, spinach and a new blog",crosswords
84,2011-08-26,"Prize crossword No 25,412",crosswords
85,2011-08-25,"Crossword blog: Saving the world, one clue at a time",crosswords
86,2011-08-05,"Annotated solution for Prize 25,388",crosswords
87,2011-08-04,"Cryptic crossword 25,393",crosswords
88,2011-08-01,Finding your favourites,crosswords
89,2011-07-30,Speedy crossword 828,crosswords
90,2011-07-23,"Azed slip No 2,040",crosswords
91,2011-07-22,"Annotated solutions for Prize 25, 376",crosswords
92,2011-07-15,"Annotated solutions Prize 25,370",crosswords
93,2011-07-12,Araucaria awash,crosswords
94,2011-07-08,"Annotated solutions Prize 25,364",crosswords
95,2011-07-04,Balkan Wars,crosswords
96,2011-06-28,"Azed slip No 2,036",crosswords
97,2011-06-17,"Annotated solutions Prize 25,346",crosswords
98,2011-06-10,"Annotated solutions Prize 25,340",crosswords
99,2011-06-06,Pudding problems,crosswords
100,2011-05-21,"Azed slip No 2,031",crosswords
101,2011-05-20,"Annotated solutions Prize 25,322",crosswords
102,2011-05-13,"Annotated solutions Prize 25,316",crosswords
103,2011-05-06,"Annotated solutions for Prize 25,310",crosswords
104,2011-05-03,Fancy lad and me,crosswords
105,2011-04-23,"Azed slip No 2,027",crosswords
106,2011-04-22,"Prize crossword No 25,304",crosswords
107,2011-04-08,"Annotated solutions for Prize 25,286",crosswords
108,2011-04-05,Errors and differences of opinion,crosswords
109,2011-04-04,Annotated solutions for Genius 93,crosswords
110,2011-03-31,"Cryptic crossword No 25,285",crosswords
111,2011-03-27,"Azed slip No 2,023",crosswords
112,2011-03-26,"Prize crossword No 25,280",crosswords
113,2011-03-25,"Annotated solutions for Prize 25,274",crosswords
114,2011-03-18,"Annotated solutions for Prize 25,268",crosswords
115,2011-03-11,"Annotated solutions for Prize 25,262",crosswords
116,2011-03-07,A Happy 90th Birthday!,crosswords
117,2011-03-07,Annotated solutions for Genius 92,crosswords
118,2011-03-05,"Prize crossword No 25,262",crosswords
119,2011-03-04,"Annotated solutions for Prize 25, 256",crosswords
120,2011-02-27,"Azed slip No 2,019",crosswords
121,2011-02-26,"Annotated solutions for Prize 25, 250",crosswords
122,2011-02-18,"Annotated solutions for Prize 25,244",crosswords
123,2011-02-15,"Araucaria, master of the crossword",crosswords
124,2011-02-11,"Annotated solutions for Prize 25, 238",crosswords
125,2011-02-07,"Rivers, crosswords and Ambridge",crosswords
126,2011-02-07,Annotated solutions for Genius 91,crosswords
127,2011-02-04,"Annotated solutions for Prize 25,232",crosswords
128,2011-01-28,"Annotated solutions for Prize 25, 226",crosswords
129,2011-01-21,"Annotated solutions for Prize 25,220",crosswords
130,2011-01-21,"Azed slip No 2,014",crosswords
131,2011-01-14,"Annotated solutions for Prize 25,214",crosswords
132,2011-01-13,"Azed slip No 2,012",crosswords
133,2011-01-07,"Annotated solutions for Prize 25,208",crosswords
134,2011-01-03,Happy Crosswords in 2011,crosswords
135,2011-01-03,Annotated solutions for Genius 90,crosswords
136,2012-12-20,Crossword blog: clues you love to hate,crosswords
137,2012-12-13,Crossword blog: what are your cryptic gripes?,crosswords
138,2012-12-10,Crossword roundup: Rent-a-clue,crosswords
139,2012-12-07,"Annotated solutions for Prize 25,808",crosswords
140,2012-12-06,Crossword blog: cryptics in India,crosswords
141,2012-12-03,American grids,crosswords
142,2012-11-29,Crossword blog: Meet the Setter - Qaos,crosswords
143,2012-11-26,Crossword roundup: whose bad?,crosswords
144,2012-11-23,"Annotated solutions for Prize 25,796",crosswords
145,2012-11-22,Crossword blog: the year of the crossword,crosswords
146,2012-11-19,Crossword roundup: remarkably egregious clues,crosswords
147,2012-11-16,"Annotated solutions for Prize 25,790",crosswords
148,2012-11-15,Crossword blog: meet the setter - Gordius,crosswords
149,2012-11-12,Crossword roundup: Lites R Us,crosswords
150,2012-11-08,Crossword blog: cryptics in Australia,crosswords
151,2012-11-05,Transatlantic divides,crosswords
152,2012-11-05,Crossword roundup: from literati to Twitterati,crosswords
153,2012-11-05,Annotated solutions for Genius 112,crosswords
154,2012-11-04,"Azed crossword 2,109",crosswords
155,2012-10-29,Crossword roundup: trolls and embryos,crosswords
156,2012-10-27,"Azed slip No 2,105",crosswords
157,2012-10-25,Crossword blog: Meet the letter G,crosswords
158,2012-10-22,Crossword roundup: Man up? Jog on,crosswords
159,2012-10-19,"Annotated solutions for Prize 25,766",crosswords
160,2012-10-18,Crossword blog: a 3D crossword calendar for 2013,crosswords
161,2012-10-15,Crossword roundup: a bunch of bally melon farmers,crosswords
162,2012-10-13,Speedy crossword No 890,crosswords
163,2012-10-12,"Annotated solutions for Prize 25,760",crosswords
164,2012-10-12,Cryptic crosswords for beginners: Cockneys,crosswords
165,2012-10-08,Crossword roundup: chillaxing with my frenemies,crosswords
166,2012-10-05,"Annotated solutions for Prize 25,754",crosswords
167,2012-10-04,"Top 10 crosswords in fiction, no 1: The Simpsons",crosswords
168,2012-10-01,"Crossword roundup: Mark, twain?!",crosswords
169,2012-10-01,Spell It Out,crosswords
170,2012-09-28,"Azed slip No 2,100",crosswords
171,2012-09-27,Crossword blog: Meet the letter F,crosswords
172,2012-09-24,"Crossword roundup: Fish, Met blockings",crosswords
173,2012-09-21,"Annotated solutions for Prize 25,742",crosswords
174,2012-09-20,Crossword blog: the best TV gags about crosswords,crosswords
175,2012-09-17,Crossword roundup: ouijas and eejits,crosswords
176,2012-09-13,Crossword blog: meet the setter - Orlando,crosswords
177,2012-09-10,Crossword roundup: Can you say Riot Grrrl without saying Grrr?,crosswords
178,2012-09-03,Food for thought: Chinese cooking,crosswords
179,2012-08-31,"Annotated solutions for Prize 25,724",crosswords
180,2012-08-25,"Azed slip No 2,096",crosswords
181,2012-08-23,"Top 10 crosswords in fiction, no 2: Lord Peter Wimsey",crosswords
182,2012-08-20,Crossword roundup: Rupert's return,crosswords
183,2012-08-17,Crossword blog: meet the setter - Micawber/Morph,crosswords
184,2012-08-13,Crossword roundup: Olympic clues - the last lap,crosswords
185,2012-08-10,"Annotated solutions for Prize 25,706",crosswords
186,2012-08-09,"Top 10 crosswords in fiction, no 3: Inspector Morse",crosswords
187,2012-08-06,Quick crossword puzzles,crosswords
188,2012-08-06,"Crossword roundup: Oh, I see - IOC",crosswords
189,2012-08-03,"Annotated solutions for Prize 25,700",crosswords
190,2012-08-02,Crossword blog: meet the setter - Pasquale,crosswords
191,2012-07-26,"Top 10 crosswords in fiction, no 4: Oliver's Travels",crosswords
192,2012-07-23,Crossword roundup: a doubtfulness of collective nouns,crosswords
193,2012-07-20,"Azed slip No 2,091",crosswords
194,2012-07-20,"Annotated solutions for Prize 25,688",crosswords
195,2012-07-19,Crossword blog: cryptics in America,crosswords
196,2012-07-16,Crossword roundup: Snowballs and dominoes,crosswords
197,2012-07-12,"Top 10 crosswords in fiction, no 5: Rubicon",crosswords
198,2012-07-10,Crossword roundup: 15 squares of black and white,crosswords
199,2012-07-05,Cryptic crosswords for beginners: backwards clues,crosswords
200,2012-07-02,Too hard or too soft?,crosswords
201,2012-07-02,Crossword roundup: Alan Turing,crosswords
202,2012-06-29,"Annotated solutions for Prize 25,670",crosswords
203,2012-06-24,"Azed slip No 2,087",crosswords
204,2012-06-22,"Prize crossword 25,670",crosswords
205,2012-06-21,Crossword blog: meet the letter E,crosswords
206,2012-06-18,Crossword roundup: two monkeys,crosswords
207,2012-06-14,"Top 10 crosswords in fiction, no 7: Lionel Asbo",crosswords
208,2012-06-11,Crossword roundup: Dorries stokes,crosswords
209,2012-06-07,"Top 10 crosswords in fiction, no 8: The West Wing",crosswords
210,2012-06-04,Policy change for BBC,crosswords
211,2012-06-02,"Azed crossword 2,087",crosswords
212,2012-05-31,Crosswords for beginners: which papers are easiest?,crosswords
213,2012-05-28,Crossword roundup: variations on themes,crosswords
214,2012-05-27,"Azed slip No 2,083",crosswords
215,2012-05-24,"Top 10 crosswords in fiction, no 9: PG Wodehouse's The Truth About George",crosswords
216,2012-05-21,"Crossword roundup: Someone old, someone new",crosswords
217,2012-05-17,Crossword blog: Chavez assassination plot - the evidence,crosswords
218,2012-05-14,Crossword roundup: Leveson - the lines,crosswords
219,2012-05-10,"Top 10 crosswords in fiction, no 10: Brief Encounter",crosswords
220,2012-05-08,Crossword roundup: Silly billies,crosswords
221,2012-05-07,Roman numbers and other problems,crosswords
222,2012-05-04,"Annotated solutions for Prize 25,622",crosswords
223,2012-05-03,Crossword blog: what are your favourite crosswords in fiction?,crosswords
224,2012-04-30,Crossword roundup: emo fillips,crosswords
225,2012-04-27,"Annotated solutions for Prize 25,616",crosswords
226,2012-04-26,Crossword blog: Meet the Setter - Puck,crosswords
227,2012-04-20,"Annotated solutions for Prize 25,610",crosswords
228,2012-04-19,Cryptic crosswords for beginners: containers,crosswords
229,2012-04-12,Crossword blog: meet the letter D,crosswords
230,2012-04-09,Crossword roundup: April clues' day,crosswords
231,2012-04-06,"Prize crossword No 25,604",crosswords
232,2012-04-05,Crossword blog: meet the setter – Shed,crosswords
233,2012-04-02,Down with 'anagrinds',crosswords
234,2012-04-02,Crossword roundup: bag of tricks,crosswords
235,2012-03-31,"Azed crossword 2,078",crosswords
236,2012-03-25,"Azed slip No 2,074",crosswords
237,2012-03-23,"Annotated solution for Prize 25,586",crosswords
238,2012-03-22,Crossword blog: live webchat with Enigmatist,crosswords
239,2012-03-19,Crossword roundup: who likes short shorts,crosswords
240,2012-03-15,Crossword blog: live chat with Arachne,crosswords
241,2012-03-12,Crossword roundup: muggle trouble,crosswords
242,2012-03-10,"Prize crossword No 25,580",crosswords
243,2012-03-08,Crosswords on the move,crosswords
244,2012-03-08,Crossword blog: can computers crack cryptic clues?,crosswords
245,2012-03-05,iPads and anagrinds,crosswords
246,2012-03-05,Crossword roundup: needled by pins,crosswords
247,2012-03-03,Special instructions for Azed 2074,crosswords
248,2012-03-01,Cryptic crosswords for beginners: spoonerisms,crosswords
249,2012-02-27,"Azed slip No 2,070",crosswords
250,2012-02-27,Crossword roundup: Praisin' the Roof,crosswords
251,2012-02-24,"Azed slip No 2,065",crosswords
252,2012-02-24,"Azed slip No 2,064",crosswords
253,2012-02-22,Crossword blog: meet the setter - Rufus,crosswords
254,2012-02-21,Guardian crossword setter Rufus turns 80,crosswords
255,2012-02-20,Crossword roundup: Deja clue,crosswords
256,2012-02-16,Crossword blog: meet the letter C,crosswords
257,2012-02-13,Crossword roundup: I will always love clues,crosswords
