,Date,Content,Section
0,2010-12-31,Edinburgh archive Flickr challenge: the Forth Bridge,edinburgh
1,2010-12-30,No Edinburgh Climate Camp policing costs until 2011,edinburgh
2,2010-12-29,Edinburgh archive Flickr challenge: the Scott Monument,edinburgh
3,2010-12-28,Edinburgh archive Flickr challenge: Portobello beach,edinburgh
4,2010-12-27,Mapped: Hogmanay in Edinburgh,edinburgh
5,2010-12-24,"Edinburgh archive Flickr challenge: West Bow, Lawnmarket",edinburgh
6,2010-12-23,Edinburgh archive Flickr challenge: Jenners,edinburgh
7,2010-12-22,"Edinburgh's Christmas and new year opening hours for post offices, pharmacies, GP surgeries and bus times",edinburgh
8,2010-12-21,A £1 restaurant tip can help Edinburgh's homeless at Christmas,edinburgh
9,2010-12-20,Edinburgh archive Flickr challenge: Waverley Station,edinburgh
10,2010-12-17,New student halls in the Cowgate's Wellgate House,edinburgh
11,2010-12-17,Free beer for Edinburgh war veterans,edinburgh
12,2010-12-17,"Edinburgh today: Snow sleighs crime, musical medics and festive gallery tours",edinburgh
13,2010-12-16,Is now the right time for a new Forth road bridge?,edinburgh
14,2010-12-16,Edinburgh council digs in to reserve funds to battle snow,edinburgh
15,2010-12-16,"Edinburgh today: freeze cancels trains, Gaelic schools decision and a chat between Phill Jupitus and Ian Rankin",edinburgh
16,2010-12-15,Bookmarked: Edinburgh council answers your snow questions,edinburgh
17,2010-12-15,Edinburgh City of Literature launches Let's Get Lyrical,edinburgh
18,2010-12-15,"Edinburgh today: new Forth bridge debate, tributes for Geoff Sims and snow forecast",edinburgh
19,2010-12-14,Interview: Luke Joyce of I Build Collapsible Mountains,edinburgh
20,2010-12-14,Edinburgh council's £35m cuts plans revealed,edinburgh
21,2010-12-14,"Edinburgh today: free Christmas parking axed, Ice Factor and the Sheep Heid Inn is 650",edinburgh
22,2010-12-13,Can you give Granny Green's a venue?,edinburgh
23,2010-12-13,Council races to get Edinburgh's bins cleared before fresh snow,edinburgh
24,2010-12-13,Review: Tinderbox Orchestra,edinburgh
25,2010-12-13,"Edinburgh today: all schools to open, Haymarket concern and TraVerses",edinburgh
26,2010-12-10,Edinburgh's Tinderbox Orchestra take on Bjork and Jimi Hendrix,edinburgh
27,2010-12-10,Three arrested after Edinburgh Liberal Democrat office protest,edinburgh
28,2010-12-10,Four years of independent publishing at the Forest Cafe,edinburgh
29,2010-12-10,Edinburgh's tribute to Liu Xiaobo,edinburgh
30,2010-12-10,Mapped: new skips for rubbish collection in snow,edinburgh
31,2010-12-10,"Edinburgh today: The Lot to close, 20 firms want old Odeon and Assembly Rooms row continues",edinburgh
32,2010-12-09,Edinburgh West MP Mike Crockart resigns over tuition fees,edinburgh
33,2010-12-09,Bookmarked: Wester Hailes Sentinel 300th issue,edinburgh
34,2010-12-09,Forest Cafe's fundraising Blender Redux weekender,edinburgh
35,2010-12-09,Edinburgh today: local MPs to vote on tuition fees and should the Ross Bandstand be sold?,edinburgh
36,2010-12-08,Mike Crockart targeted in Edinburgh anti-tuition fees march,edinburgh
37,2010-12-08,A chance meeting at Edinburgh's Forest Cafe resulted in Sarajevo marriage,edinburgh
38,2010-12-08,Edinburgh students to march ahead of tuition fees vote,edinburgh
39,2010-12-08,"Edinburgh today: student fees demo, some schools still shut and Greener Leith awards",edinburgh
40,2010-12-07,Local genealogy search fees set to rise,edinburgh
41,2010-12-07,Snow clearing criticism a 'kick in the teeth' for council staff,edinburgh
42,2010-12-07,"Edinburgh today: snow still shuts schools, housing 'crisis' meeting and £500,000 bins bill",edinburgh
43,2010-12-06,Edinburgh MP Mike Crockart denies resignation over tuition fees,edinburgh
44,2010-12-06,Update: seven more Edinburgh schools close due to ongoing snow,edinburgh
45,2010-12-06,"Review: Scoff Cafe, Fountainbridge",edinburgh
46,2010-12-06,Edinburgh today: most schools open as snow returns and tram staff quit,edinburgh
47,2010-12-03,Edinburgh's role in Mitsubishi offshore wind turbine plan,edinburgh
48,2010-12-03,Edinburgh's affordable housing gap 'could damage city's economic growth',edinburgh
49,2010-12-03,Emergency supplies for vulnerable Edinburgh residents,edinburgh
50,2010-12-03,Edinburgh students end protest occupation of university for exams,edinburgh
51,2010-12-03,"Edinburgh today: more schools open, foodies festival and New Victoria",edinburgh
52,2010-12-02,How the council decides to open or close Edinburgh's schools in heavy snowfall,edinburgh
53,2010-12-02,Stream an electronic benefit compilation for Forest Cafe,edinburgh
54,2010-12-02,"Slideshow: your pictures of snow in Edinburgh, including an arctic monkey in Morningside",edinburgh
55,2010-12-02,Edinburgh outsourcing firm Expediens helps with everything from tweets to Christmas greets,edinburgh
56,2010-12-02,"Edinburgh today: 30 primary schools open, hotel roof collapses under snow and airport still shut",edinburgh
57,2010-12-01,Criminals made to clear up snow on community service in Stockbridge,edinburgh
58,2010-12-01,Snow couldn't stop Edinburgh's Sneaky Fest,edinburgh
59,2010-12-01,'Small victory' as Forest flats plan is withdrawn after 150 objections,edinburgh
60,2010-12-01,"Edinburgh today: fresh snow leaves transport in turmoil, some schools reopen and Christmas lights cancelled",edinburgh
61,2010-11-30,Edinburgh students' snowball protest over tuition fees,edinburgh
62,2010-11-30,Edinburgh under snow - your pictures,edinburgh
63,2010-11-30,Edinburgh students to end university occupation with snowball fight outside Holyrood,edinburgh
64,2010-11-30,"Edinburgh today: more schools closed, flooding fears and Craigmillar blogs",edinburgh
