,Date,Content,Section
0,2010-12-24,Expired: See Modern British and Contemporary Art at the London Art Fair,extra
1,2010-12-24,national geographic kids,extra
2,2010-12-22,Offer now expired: Aurélien Bory's Compagnie 111 at the London International Mime Festival,extra
3,2010-12-22,See Compagnie 111 at The Southbank Centre,extra
4,2010-12-20,Enjoy treasures from Afghanistan plus dinner at the British Museum,extra
5,2010-12-20,Your invitation to see treasures from Afghanistan at the British Museum,extra
6,2010-12-15,Letter from Bethlehem,extra
7,2010-12-15,Win tickets to see Adele live at The Cavern in Liverpool,extra
8,2010-12-15,See the world premiere of POLAR at the Liverpool Philharmonic Hall,extra
9,2010-12-15,Enjoy a free preview screening of new drama The King's Speech,extra
10,2010-12-14,The Three Musketeers at The Rose Theatre in Kingston,extra
11,2010-12-10,Enjoy a free preview screening of new thriller The Next Three Days,extra
12,2010-12-08,A gallery of photos from some of our most recent Extra events,extra
13,2010-12-07,Win a family ticket to The Gruffalo,extra
14,2010-12-06,Get a 2 for 1 ticket deal for the Nam June Paik exhibition at Tate Liverpool,extra
15,2010-12-01,Get 50% off  The Bedside Guardian,extra
16,2010-12-01,The Christmas Spectacular at the O2: get top price tickets at half price,extra
17,2010-12-01,Get half price tickets for Peter and the Wolf LIVE at Liverpool Philharmonic Hall,extra
18,2010-11-30,"Get 2 for 1 on tickets for the BBC Philharmonic at The Bridgewater Hall, Manchester",extra
19,2010-11-29,A Flea in Her Ear: top price tickets for £35,extra
20,2010-11-29,Offer now expired: Enjoy a discount on tickets to two exhibitions at the Design Museum,extra
21,2010-11-29,Enjoy a discount on tickets to two exhibitions at the Design Museum,extra
22,2010-11-25,Guardian Review Book Club with Sue Townsend,extra
23,2010-11-25,Exclusive Preview Screening: Rare Exports on Sunday 28 November,extra
24,2010-11-25,"See the best of two galleries with a 2 for 1 discount at Abbot Hall, Kendal",extra
25,2010-11-25,Offer now expired: Enjoy The Gruffalo at The Garrick,extra
26,2010-11-25,Enjoy The Gruffalo at The Garrick,extra
27,2010-11-22,OFFER EXPIRED Enjoy the latest releases from Moshi Moshi Records for just £20,extra
28,2010-11-22,Enjoy the latest releases from Moshi Moshi Records for just £20,extra
29,2010-11-22,Extra: Simon Hattenstone,extra
30,2010-11-22,Hear all about it,extra
31,2010-11-19,Offer now expired: George's Marvellous Medicine at the Bloomsbury Theatre,extra
32,2010-11-18,Offer Expired: Get tickets to a free preview screening of Monsters,extra
33,2010-11-17,Stock up your wine cellar for Christmas,extra
34,2010-11-17,Stock up your wine cellar for Christmas,extra
35,2010-11-17,"Exclusive dinner at the award-winning Wahaca restaurant in Soho, London",extra
36,2010-11-15,See The Snowman live on stage,extra
37,2010-11-15,Get 50% off Eyewitness Decade,extra
38,2010-11-12,Win a Merlin Family Annual Pass,extra
39,2010-11-12,Save 25% on a Merlin Annual Pass,extra
40,2010-11-12,"Guardian Extra presents: A Preview Screening of 'The American' at Empire Cinema, Leicester Square",extra
41,2010-11-11,Offer Now Expired: Enjoy some top quality foodie treats,extra
42,2010-11-11,Enjoy some top quality foodie treats,extra
43,2010-11-11,Video | Extra virtual food market: Inverar,extra
44,2010-11-11,Video | Extra virtual food market: Farringtons rape seed oil,extra
45,2010-11-11,Video | Extra virtual food market: Olives Et Al,extra
46,2010-11-11,Birdsong: get a 2 for 1 deal on tickets plus a pre-show Q&A with the author when you book for 9 December,extra
47,2010-11-10,Spend a week in rural France,extra
48,2010-11-10,The Ashes 2010 preview podcast,extra
49,2010-11-09,"Hail! Hail! Rock'n'Roll  - the quiz,  hosted by  John Harris",extra
50,2010-11-09,Take part in the The Hail! Hail! Rock'n'Roll Quiz hosted by The Guardian's John Harris,extra
51,2010-11-08,Exclusive Preview Screening: Chico & Rita on Sunday 14 November 2010,extra
52,2010-11-05,Secret Cinema: what will you see?,extra
53,2010-10-29,Exploring Chopin and Schumann with Music in the Round in Sheffield,extra
54,2010-10-28,Guardian Extra presents: A Preview Screening of 'Let Me In' at selected cinemas across the UK,extra
55,2010-10-27,Extra members book tickets for The Record Producers Motown experience - The Secrets of the classics,extra
56,2010-10-26,Save money on tickets to see Men Should Weep,extra
57,2010-10-26,Extra Event: The Record Producers Motown experience - Secrets of the classics,extra
58,2010-10-25,See a preview screening of 'The Kids Are All Right',extra
59,2010-10-22,Meet the team behind The Thick of It,extra
60,2010-10-22,Video: Extra video: Dan Roberts on the Comprehensive Spending Review,extra
