,Date,Content,Section
0,2011-01-01,How to dress: Hoodies,fashion
1,2011-01-01,"Weekender: Martina Miholic, 29, artist | Fashion",fashion
2,2011-01-01,The Measure | Fashion,fashion
3,2011-01-01,How to dress: Hoodies,fashion
4,2011-01-01,Alexis Petridis: Wellies in the city,fashion
5,2011-01-01,Nutcracker sweet,fashion
6,2010-12-31,John Lennon's Abbey Road suit goes to auction at US gallery,fashion
7,2010-12-26,The fashion line-up: Cocktail chic,fashion
8,2010-12-26,Key fashion trends of the season: Embellished,fashion
9,2010-12-21,Take That: style icons for older men,fashion
10,2010-12-21,Christmas up your look,fashion
11,2010-12-21,Perfect foil: capes become the look of Britain's big freeze,fashion
12,2010-12-20,Party time: Festive outfits for little girls,fashion
13,2010-12-20,The edit: Wallets and purses,fashion
14,2010-12-20,Blowing your bonus on a Chanel bag could be the most sensible purchase you'll make this Christmas,fashion
15,2010-12-19,The fashion briefing,fashion
16,2010-12-19,The Line-up: Embellished,fashion
17,2010-12-19,Key fashion trends of the season: Red,fashion
18,2010-12-18,Video | How to dress: Beaded tunics,fashion
19,2010-12-18,Alexis Petridis: Dress to impress? Moi? | Men's fashion,fashion
20,2010-12-18,How to dress: Party time,fashion
21,2010-12-18,The Measure,fashion
22,2010-12-18,What I see in the mirror: Lauren Luke,fashion
23,2010-12-18,How to wrap up on Christmas  Day,fashion
24,2010-12-17,Carine Roitfeld resigns from French Vogue,fashion
25,2010-12-17,In praise of Carine Roitfeld,fashion
26,2010-12-17,Carine Roitfeld steps down as editor of French Vogue after 10 years,fashion
27,2010-12-17,Full-length gowns are the unexpected hit of the Christmas party season,fashion
28,2010-12-17,Carine Roitfeld to leave French Vogue,fashion
29,2010-12-16,Fausto Sarli obituary,fashion
30,2010-12-16,Fashion Statement's 2010 awards,fashion
31,2010-12-16,Yak wool: the new cashmere?,fashion
32,2010-12-14,The alternative best-dressed list,fashion
33,2010-12-12,"Pharrell Williams might look snug in his trapper hat, but that doesn't mean you have to follow this ubiquitous trend",fashion
34,2010-12-12,The fashion briefing,fashion
35,2010-12-12,Anna Dello Russo interview: Fashion gone rogue,fashion
36,2010-12-12,Glow in the dark,fashion
37,2010-12-12,Key fashion trends of the season: LBDs and tuxedos,fashion
38,2010-12-11,Jessie J: 'I haven't got time to waste',fashion
39,2010-12-11,"Karen Gillan: 'It's been a mental year, but amazing and fun'",fashion
40,2010-12-11,Dannii Minogue: 'X Factor is incredible… but I could be gone tomorrow',fashion
41,2010-12-11,The Measure,fashion
42,2010-12-11,Alexis Petridis: Men in heels,fashion
43,2010-12-11,How to dress: Ruffled up,fashion
44,2010-12-11,What I see in the mirror: John Waters,fashion
45,2010-12-11,All dressed up with somewhere to go,fashion
46,2010-12-11,How to dress: Ruffles,fashion
47,2010-12-10,"British men are too scruffy, says menswear designer of the year",fashion
48,2010-12-09,Fashion Statement: How Mulberry made it big,fashion
49,2010-12-09,Madonna's new look: the cheek of it,fashion
50,2010-12-09,Here comes honeysuckle – Pantone says 2011 will be a bright year,fashion
51,2010-12-08,The British fashion awards: the winners,fashion
52,2010-12-07,British Fashion Awards see Mulberry clasp designer brand accolade,fashion
53,2010-12-07,"Pass notes No 2,894: Tweed",fashion
