,Date,Content,Section
0,2010-12-31,Councils launch waste and recycling website,government-computing-network
1,2010-12-30,New website for NI geographic info strategy,government-computing-network
2,2010-12-29,Treasury spent £9.9m with Fujitsu,government-computing-network
3,2010-12-29,Manchester launches online deaf service,government-computing-network
4,2010-12-28,Government to move e-petitions,government-computing-network
5,2010-12-24,Scotland unveils privacy principles,government-computing-network
6,2010-12-23,NHS website invites patient comments on dentists,government-computing-network
7,2010-12-23,Calderdale loses patient data on stolen computer,government-computing-network
8,2010-12-23,Camden strikes deal for new schools' IT,government-computing-network
9,2010-12-22,TfL CIO backs teenage innovators,government-computing-network
10,2010-12-22,ICO waves stick over FoI compliance,government-computing-network
11,2010-12-22,Tell Us Once to go nationwide in 2011,government-computing-network
12,2010-12-22,"Virtual courts prove costly, concludes MoJ",government-computing-network
13,2010-12-22,Government seeks e-Borders compensation,government-computing-network
14,2010-12-21,Government gets MoU with Xerox,government-computing-network
15,2010-12-21,FiReControl to be axed,government-computing-network
16,2010-12-21,Queen set to outlaw ID cards today,government-computing-network
17,2010-12-21,Counties maintain ERP shared service,government-computing-network
18,2010-12-20,Cabinet Office signs MoU with Vertex,government-computing-network
19,2010-12-20,DoH extends BT N3 deal,government-computing-network
20,2010-12-20,MPs to examine government IT policy,government-computing-network
21,2010-12-17,Gray becomes new defence procurement chief,government-computing-network
22,2010-12-17,Plan to network coastguards,government-computing-network
23,2010-12-17,Cabinet Office claims major savings from ICT,government-computing-network
24,2010-12-17,EU outlines new e-government plans,government-computing-network
25,2010-12-17,IT helps cut M42 pollution,government-computing-network
26,2010-12-16,Buying Solutions plans £500m software contract,government-computing-network
27,2010-12-16,MoJ spent £121m with HP,government-computing-network
28,2010-12-16,Looking Local receives red button boost,government-computing-network
29,2010-12-16,Boeing wins MoD logistics deal,government-computing-network
30,2010-12-15,Council announces shared services programme,government-computing-network
31,2010-12-15,Manchester to lead 'smart city' project,government-computing-network
32,2010-12-15,"Government receives 240,000 malicious emails a year",government-computing-network
33,2010-12-14,TfL upgrades apps development site,government-computing-network
34,2010-12-14,Cornwall plans shared ERP,government-computing-network
35,2010-12-14,DfT spends £196m with IBM,government-computing-network
36,2010-12-13,Wirral announces major back office cuts,government-computing-network
37,2010-12-13,Localism Bill emphasises raw data role,government-computing-network
38,2010-12-13,Southwest One misses savings target,government-computing-network
39,2010-12-10,Birmingham plans for flexible printing,government-computing-network
40,2010-12-10,Home Office may re-use ID card equipment,government-computing-network
41,2010-12-09,A modern duty,government-computing-network
42,2010-12-09,Five authorities sign BSF deals,government-computing-network
43,2010-12-09,Designers to upgrade Scotland.gov.uk,government-computing-network
44,2010-12-09,Essex tenders for travel info system,government-computing-network
45,2010-12-09,Birmingham launches gunfire location IT,government-computing-network
46,2010-12-08,Scotland gets web services framework,government-computing-network
47,2010-12-08,NHS info is loaded onto London Datastore,government-computing-network
48,2010-12-07,Wales receives telemedicine funding,government-computing-network
49,2010-12-07,DfT launches e-tool for road safety advisers,government-computing-network
50,2010-12-07,Police cuts to focus on back office,government-computing-network
51,2010-12-06,Socitm: public agencies reluctant to share data,government-computing-network
52,2010-12-06,Nottinghamshire strikes £7.4m deal,government-computing-network
53,2010-12-06,HMRC wants to limit PAYE data channels,government-computing-network
54,2010-12-03,CLG plans national address gazetteer,government-computing-network
55,2010-12-03,GCSX N3 link goes live,government-computing-network
56,2010-12-03,Change of ownership for ICT Research Network,government-computing-network
57,2010-12-03,Atos Origin leads DCMS suppliers,government-computing-network
58,2010-12-02,GCHQ commercialisation 'a live issue' says minister,government-computing-network
59,2010-12-02,Red and blue boroughs share support deal,government-computing-network
60,2010-12-02,Web is snow alternative for Scottish schools,government-computing-network
61,2010-12-02,Maude calls on big players to embrace SMEs,government-computing-network
62,2010-12-02,Enfield to launch electronic 'token' for citizens,government-computing-network
63,2010-12-01,"A tale of two, or more, cities",government-computing-network
64,2010-12-01,Scottish legal reviewer signs deal with Atos Origin,government-computing-network
65,2010-12-01,Wokingham signs £8.5m ICT deal,government-computing-network
66,2010-12-01,Inspector criticises UKBA facial recognition gates,government-computing-network
67,2010-12-01,Questions on commissioning,government-computing-network
68,2010-12-01,MoD reveals £806m in payments to HP,government-computing-network
69,2010-12-01,Agency extends online flood warnings,government-computing-network
70,2010-11-30,Councils spent £314m on CCTV,government-computing-network
71,2010-11-30,Hampshire and Dorset announce joint IT strategy,government-computing-network
72,2010-11-30,Becta agrees £400m ICT framework,government-computing-network
73,2010-11-29,BIS spent £26.3m with Fujitsu last year,government-computing-network
74,2010-11-29,Service Birmingham extended to 2021,government-computing-network
75,2010-11-26,Hampshire Police spends £1.5m on mobile devices,government-computing-network
76,2010-11-26,FCO spends £39m with HP,government-computing-network
77,2010-11-25,Olympics team plans security system,government-computing-network
78,2010-11-25,Fibre optic deal increases PSN momentum,government-computing-network
79,2010-11-25,TfL to remove most western CC cameras,government-computing-network
80,2010-11-25,Hertfordshire signs £200m deal with Serco,government-computing-network
81,2010-11-25,Poor IT contributes to DWP errors,government-computing-network
82,2010-11-24,"ICO fines Hertfordshire £100,000",government-computing-network
83,2010-11-24,HMRC excise tracking to go online,government-computing-network
84,2010-11-23,Maude to give Directgov more weight,government-computing-network
85,2010-11-23,Tracker reveals status of coalition's pledges,government-computing-network
86,2010-11-23,NI courts get £37.4m ICT deal,government-computing-network
87,2010-11-23,Nickalls to leave Directgov,government-computing-network
88,2010-11-23,Cabinet Office signs MoU with IBM,government-computing-network
89,2010-11-23,DfE spent £113.8m with Capita last year,government-computing-network
90,2010-11-22,Councillors to vote on Service Birmingham,government-computing-network
91,2010-11-22,Government to make some services online-only,government-computing-network
92,2010-11-19,"Contracts 'made my eyes water', says Maude",government-computing-network
93,2010-11-19,Government reveals departments' recent IT spending,government-computing-network
94,2010-11-19,BT dominates recent NPfIT spending,government-computing-network
95,2010-11-19,DWP starts to diversify IT spending,government-computing-network
96,2010-11-18,Devon continues drive towards 'network of networks',government-computing-network
97,2010-11-17,'Government needs to expand cyber security capabilities',government-computing-network
98,2010-11-17,Kent and Norfolk paid IT bosses bonuses,government-computing-network
99,2010-11-17,Jisc praises social media in student recruitment,government-computing-network
100,2010-11-16,Government CIO to stand down,government-computing-network
101,2010-11-16,Serco signs MoU with Cabinet Office,government-computing-network
102,2010-11-16,London boroughs plan local cloud,government-computing-network
103,2010-11-16,DoH seeks NHS jobs portal,government-computing-network
104,2010-11-16,Elphicke takes top MP web prize,government-computing-network
105,2010-11-15,'PSN services will be live by Christmas',government-computing-network
106,2010-11-15,ICO censures New Forest over data breach,government-computing-network
107,2010-11-15,"Transparency saves money, says information commissioner",government-computing-network
108,2010-11-15,MoD selects Steria as preferred bidder,government-computing-network
109,2010-11-15,Scotland reveals high costs of FOI,government-computing-network
110,2010-11-12,Bournemouth signs £150m transformation deal,government-computing-network
111,2010-11-12,RM gets Stoke BSF education deal,government-computing-network
112,2010-11-12,Scotland to get new flood alert system,government-computing-network
113,2010-11-12,Public projects take IT prizes,government-computing-network
114,2010-11-12,"Surveillance still expanding, says parliamentary report",government-computing-network
115,2010-11-11,CLG datasets in open format by 2012,government-computing-network
116,2010-11-11,Transport Scotland seeks major IT deal,government-computing-network
117,2010-11-11,Agreement paves way for PSN services,government-computing-network
118,2010-11-10,"Patients will control records, says DoH",government-computing-network
119,2010-11-10,HMRC to launch real time system,government-computing-network
120,2010-11-10,Spring deadline for reporting on major projects,government-computing-network
121,2010-11-10,Cabinet Office signs MoU with Fujitsu,government-computing-network
122,2010-11-10,Criminal justice system fails to capture information,government-computing-network
123,2010-11-10,DWP drops lie detector software,government-computing-network
124,2010-11-10,DWP to centralise client contact,government-computing-network
125,2010-11-09,Home Office pledges data storage reforms,government-computing-network
126,2010-11-09,HMRC spent £765m through Aspire last year,government-computing-network
127,2010-11-09,Centro completes £14m bus smartcards project,government-computing-network
128,2010-11-09,Leicestershire and Nottingham to share services,government-computing-network
129,2010-11-08,Government launches 'transparency' website,government-computing-network
130,2010-11-08,London councils tender for web portal contract,government-computing-network
131,2010-11-08,Firelink goes live in Wales,government-computing-network
132,2010-11-08,"Public sector better than private, says ICO",government-computing-network
133,2010-11-08,Government will shred ID card data,government-computing-network
134,2010-11-05,Cabinet Office bans talks on IT,government-computing-network
135,2010-11-05,Staffordshire and Derbyshire councils unify IT services,government-computing-network
136,2010-11-05,Brussels blocks UK from Schengen biometric database,government-computing-network
137,2010-11-04,Norfolk and Suffolk police share IT services,government-computing-network
138,2010-11-04,"e-Borders discussions nearly complete, says Green",government-computing-network
139,2010-11-04,ICO picks up Portsmouth over privacy breach,government-computing-network
140,2010-11-04,New road cameras will watch for five offences,government-computing-network
141,2010-11-04,"Savings data 'unconvincing', says PAC",government-computing-network
142,2010-11-03,"First data fines imminent, says commissioner",government-computing-network
143,2010-11-03,DWP CTO predicts last Windows deployment,government-computing-network
144,2010-11-02,Air passengers face greater pre-flight checks,government-computing-network
145,2010-11-02,Wales creates digital advisory board,government-computing-network
146,2010-11-02,"Maude put squeeze on suppliers, says Watmore",government-computing-network
147,2010-11-01,"Legislation limited action against Google, says ICO",government-computing-network
148,2010-11-01,OU puts ebooks on iTunes,government-computing-network
