,Date,Content,Section
0,2011-11-10,"Guardian Big Draw at Kings Place, 8 October 2011",guardian-foundation
1,2011-11-03,"Walter Doughty - Guardian's first photographer:  teaching resource of the month from the GNM Archive, November 2011",guardian-foundation
2,2011-10-07,"Maya Angelou: teaching resource of the month from the GNM Archive, October 2011",guardian-foundation
3,2011-09-08,"Goodbye to Manchester: teaching resource from the GNM Archive, September 2011",guardian-foundation
4,2012-12-07,Students interview Alan Rusbridger,guardian-foundation
5,2012-11-28,Reading for pleasure conference 16 November 2012,guardian-foundation
6,2012-11-09,Guardian and 4Talent young journalist days,guardian-foundation
7,2012-11-05,Guardian Big Draw at Kings Place 20 October 2012,guardian-foundation
8,2012-09-25,Guardian's first laptop,guardian-foundation
9,2012-09-21,Guardian's first laptop - podcast,guardian-foundation
10,2012-08-29,Papillon de Metz,guardian-foundation
11,2012-08-15,Secondary make a newspaper workshop,guardian-foundation
12,2012-08-09,Contact the Education Centre,guardian-foundation
13,2012-07-20,Reading for pleasure conference 6 July 2012,guardian-foundation
14,2012-07-02,"Olympics - Ann Packer: resource of the month from the GNM Archive, July 2012",guardian-foundation
15,2012-05-31,Loxford school take over the Education Centre,guardian-foundation
16,2012-05-28,Highlights from 10 years of the GNM Archive,guardian-foundation
17,2012-05-25,Guardian's coverage of the monarchy: teaching resource from GNM Archive,guardian-foundation
18,2012-05-24,Primary newspaper workshop at  the Guardian Education Centre,guardian-foundation
19,2012-03-27,"April fool - San Serriffe: teaching resource of the month from the GNM Archive, April 2012",guardian-foundation
20,2012-02-17,Feature writing workshop at the Guardian Education Centre,guardian-foundation
21,2012-01-30,"Guardian redesigns:  teaching resource of the month from the GNM Archive, February 2012",guardian-foundation
22,2012-01-06,CP Scott & Boer War,guardian-foundation
23,2014-01-02,"Holiday Fog - Tom Stuttard, a Manchester Photographer",guardian-foundation
24,2013-12-16,Education Centre workshop - video,guardian-foundation
25,2013-11-28,Reading for pleasure conference 27 November 2013,guardian-foundation
26,2013-11-28,Posy Simmonds at Christmas,guardian-foundation
27,2013-11-01,Guardian women's page: teaching resource from the GNM Archive,guardian-foundation
28,2013-10-23,"Guardian cartoon and art family day, 12 October 2013: Gallery",guardian-foundation
29,2013-10-02,"Les Gibbard, political cartoonist",guardian-foundation
30,2013-09-02,Second world war and paper rationing:  teaching resource from the GNM Archive,guardian-foundation
31,2013-08-20,"Guardian and 4Talent young journalist days, August 2013",guardian-foundation
32,2013-08-01,John Edward Taylor and Peterloo,guardian-foundation
33,2013-06-07,From one little room in the newspaper,guardian-foundation
34,2013-05-31,Emily Davison and coverage of the Epsom Derby,guardian-foundation
35,2013-04-11,"Jane Bown's Olympus OM-1 camera: teaching resource from the GNM Archive, April 2013",guardian-foundation
36,2013-03-28,Reading for pleasure conference 15 March 2013,guardian-foundation
37,2013-02-01,Guardian and Observer advertising,guardian-foundation
38,2013-01-04,"Circulation figures:  teaching resource from the GNM Archive, January 2013",guardian-foundation
39,2014-12-04,Teacher open evening - Thursday 22 January 2015,guardian-foundation
40,2014-11-20,Reading for pleasure 7 November 2014 - conference notes,guardian-foundation
41,2014-11-14,Big Draw: Cartoon and art family day 11 October 2014 - what we did,guardian-foundation
42,2014-11-03,Guardian working reports,guardian-foundation
43,2014-09-30,"William Papas, political cartoonist",guardian-foundation
44,2014-08-28,First world war history and the Manchester Guardian,guardian-foundation
45,2014-08-06,"Cartoon and art family day – Saturday 11  October, Kings Place, London N1",guardian-foundation
46,2014-08-04,The first world war and Manchester Guardian staff,guardian-foundation
47,2014-07-21,Reading for pleasure 4 July 2014 - conference notes,guardian-foundation
48,2014-07-21,Reading for pleasure conference - Gallery,guardian-foundation
49,2014-07-03,Journalism and work experience opportunities for young people,guardian-foundation
50,2014-06-02,Jean Stead and the women of the miners' strike,guardian-foundation
51,2014-05-01,Cross Street Journal and life at the Guardian in the 1950s and 60s,guardian-foundation
52,2014-04-03,Reading for pleasure conference 20 March 2014 - Gallery,guardian-foundation
53,2014-04-02,How the Guardian is made,guardian-foundation
54,2014-04-01,Bedside Guardian and Alistair Cooke,guardian-foundation
55,2014-03-03,"Chris Riddell, Observer political cartoonist",guardian-foundation
56,2014-02-03,War reporting and the 2003 invasion of Iraq,guardian-foundation
57,2014-01-09,Editorial teams workshop at the Guardian Education Centre: Gallery,guardian-foundation
58,2016-01-04,Lessons from a Guardian Crisis,guardian-foundation
59,2015-12-01,Christmas quiz: teaching resource from the GNM Archive,guardian-foundation
60,2015-10-01,Guardian delivery horses,guardian-foundation
61,2015-09-01,Helena Swanwick and Evelyn Sharp - pioneering Guardian journalists,guardian-foundation
62,2015-08-20,"Cartoon and art family day - Saturday 10 October, Kings Place, London N1",guardian-foundation
63,2015-07-22,Reading for pleasure 3 July 2015 - conference notes,guardian-foundation
64,2015-05-01,Manchester Guardian centenary celebrations,guardian-foundation
65,2015-04-01,Reading for pleasure 20 March 2015 - conference notes,guardian-foundation
66,2015-04-01,Reporting Gallipoli,guardian-foundation
