,Date,Content,Section
0,2010-11-15,Jonathan Jenkins: Don't let the purists hold us back,guardian-professional
1,2010-11-15,Allison Ogden-Newton: the importance of social enterprise as councils look for alternative service providers,guardian-professional
2,2010-11-15,Nick Temple: Why franchising could be the key to scaling social enterprise,guardian-professional
3,2010-11-15,Ask the experts: Finance and investment expert,guardian-professional
4,2010-11-15,Ask the experts: General business,guardian-professional
5,2010-11-04,It's not a council carve-up: Suffolk's chief executive speaks out,guardian-professional
6,2011-09-27,Live discussion: councils as place shapers,guardian-professional
7,2011-09-26,Ivan Lewis admits Labour government did not trust councils,guardian-professional
8,2011-09-26,Will boundary changes affect local government?,guardian-professional
9,2011-09-23,High speed 2: local government rifts raise questions over decentralisation,guardian-professional
10,2011-08-23,Kaplan,guardian-professional
11,2011-08-23,Due North,guardian-professional
12,2011-08-23,Virtual Internet,guardian-professional
13,2011-08-23,BravoSolution,guardian-professional
14,2011-08-23,Advanced Computer Software plc,guardian-professional
15,2011-08-23,CRYPTOCARD,guardian-professional
16,2011-08-23,CSA Waverley,guardian-professional
17,2011-08-23,Meru Networks,guardian-professional
18,2011-08-23,TPP,guardian-professional
19,2011-08-23,Aastra Technologies Limited,guardian-professional
20,2011-01-31,MPs must grasp this chance for a better kind of politics | Jackie Ashley,guardian-professional
21,2011-01-05,Strong leadership and communication are at the forefront of Norfolk's change,guardian-professional
22,2012-07-12,Will the government's mandate put patients at the heart of the NHS?,guardian-professional
23,2012-06-21,Welsh NHS chief credits non-market based policies for rapid improvements,guardian-professional
24,2012-05-02,The Equality Act: what does it mean for local authorities?,guardian-professional
25,2012-05-01,Live discussion: do staff get a good deal from local government?,guardian-professional
26,2012-04-18,Scrutiny works best when separated from council policy,guardian-professional
27,2012-04-05,A whim and a prayer: Pickles advice on council meetings raises legal difficulties,guardian-professional
28,2012-02-21,IT Governance Ltd,guardian-professional
29,2013-11-12,A hacker approach to rewiring pension funds,guardian-professional
30,2013-11-06,"From New York to Ealing, local parks are being given a new lease of life",guardian-professional
31,2013-10-28,To frack or not to frack? Councils must make the final decision,guardian-professional
32,2013-10-26,"Councils should monitor Atos' fitness-for-work tests, urges Islington leader",guardian-professional
