,Date,Content,Section
0,2010-12-09,Diana Leonard obituary,inequality
1,2010-12-06,High court judge to rule if coalition's budget is biased against women,inequality
2,2010-12-05,Spending cuts are restoring the old role of male breadwinner,inequality
3,2010-12-04,Letters: Taking action on tax and inequality,inequality
4,2010-11-24,Minority publisher celebrates 40th birthday,inequality
5,2010-11-17,Theresa May scraps legal requirement to reduce inequality,inequality
6,2010-11-07,Government drive for more women on company boards,inequality
7,2010-11-02,Letters: Pledges to women on pay and peace,inequality
8,2010-10-22,The Fawcett Society takes the cuts to court,inequality
9,2010-10-13,Letters: The grail is equality of opportunity,inequality
10,2010-10-10,"'How Fair is Britain' report shows that for UK, race is still the issue",inequality
11,2010-10-09,Equality report slams divided Britain,inequality
12,2010-10-05,Letters: The leading players forgotten by Made in Dagenham,inequality
13,2010-09-30,Equality law rendered 'toothless' by coalition review,inequality
14,2010-09-25,Not everyone wants to talk about their sex life on the doorstep | Mark Townsend,inequality
15,2010-09-10,Letters: Name-calling can harm your prospects,inequality
16,2010-08-21,Female doctors fail to break through the glass ceiling,inequality
17,2010-08-15,Letters: Spirited defence of a level playing field,inequality
18,2010-07-31,Generations of gains are at risk for women's equality under the coalition government's plans,inequality
19,2010-07-31,Coalition budget faces legal challenge from Fawcett Society over claims  women will bear brunt of cuts,inequality
20,2010-07-30,Letters: Old mindsets in the unequal fight against poverty,inequality
21,2010-07-27,Letters: Claim and counter-claim continue over The Spirit Level,inequality
22,2010-07-18,Letters: A quota for women in the boardroom,inequality
23,2010-07-07,Private law firms letting down the side on diversity,inequality
24,2010-07-01,"Poor in UK dying 10 years earlier than rich, despite years of government action",inequality
25,2010-05-26,Barbara Burford obituary,inequality
26,2010-05-01,Equality payout for female cleaners in Birmingham will lead to more losers than winners,inequality
27,2010-04-27,Female Birmingham council workers win £200m equal pay case,inequality
28,2010-04-06,Gallery: Human rights in Britain today,inequality
29,2010-03-05,Meet the stars of a new CBBC documentary,inequality
30,2010-03-03,Labour founder's views on equality still ring true for public services,inequality
31,2010-02-12,Equality watchdog faces multiple sexism accusations,inequality
32,2010-02-10,Healthy living is cut short by 17 years for poorest in Britain,inequality
33,2010-02-03,Video: Bonnie Greer on the importance of diversity on company boards,inequality
34,2010-01-25,Equality bill: churches and campaigners demand clarity on religion's exemption,inequality
35,2010-01-14,John Denham's subtler approach to race and class carries new risk,inequality
36,2011-12-06,Former US economy tsar warns Britain risks catching the 'US disease',inequality
37,2011-12-05,Cherie Blair calls for positive action to ensure equal representation for women,inequality
38,2011-11-29,Workers given green light to pursue equal pay claims,inequality
39,2011-11-18,The rubber gloves are on: marchers to fight for women's rights amid cuts,inequality
40,2011-11-15,Letters: Men-only policy debates must go,inequality
41,2011-11-04,"Women's equality: clock is turning back as cuts bite, says Fawcett Society",inequality
42,2011-10-27,Britain ranks poorly in global 'fairness' league,inequality
43,2011-09-29,"Sheffield council agrees to back pay for 1,100 women",inequality
44,2011-08-31,2109: a life of equality – but no polar bears,inequality
45,2011-08-30,"Women executives could wait 98 years for equal pay, says report",inequality
46,2011-08-16,"More than 5,400 women 'missing' from 26,000 top posts in Britain, report finds",inequality
47,2011-07-30,The root of inequality? It's down to whether you ploughed or hoed...,inequality
48,2011-05-14,SlutWalk: the wrong message or a great idea?,inequality
49,2011-04-20,"Leading questions: Ashley Thomas, Stonewall",inequality
50,2011-04-15,Letters: The pursuit of happiness,inequality
51,2011-04-06,Black people still face mental health inequality,inequality
52,2011-04-04,Devolution and equalities: Holyrood takes lead on gay representation,inequality
53,2011-03-08,"40 years since the Equal Pay Act, equality remains a dream",inequality
54,2011-03-06,Sister act: Women take on street harassers,inequality
55,2011-03-04,Letters: Public bodies need more women on board,inequality
56,2011-01-30,"Why sexism is no laughing matter, despite what the boys might say",inequality
57,2011-01-25,Talking about race across the generations,inequality
58,2011-01-14,Letters: Equalities grey area in public sector broadcasting,inequality
59,2011-01-13,Letters: Time for the media to grow up,inequality
60,2011-01-07,Letters: Homophobic bullies have not gone away,inequality
61,2012-12-05,Letters: Equality law reform cannot wait for another tragedy,inequality
62,2012-11-30,Campaigners urge government to tackle caste discrimination in UK,inequality
63,2012-11-25,Has the march towards sexual equality gone into reverse?,inequality
64,2012-11-12,Equality commissioners defend record after Maria Miller's attack on their work,inequality
65,2012-11-11,Lists of 'top women' simply perpetuate a patronising myth | Catherine Bennett,inequality
66,2012-11-11,More jobs for the boys as quangos neglect women,inequality
67,2012-10-24,'Suffragettes' hold rally for equal rights for women,inequality
68,2012-10-24,Birmingham equal pay victory for women may impact City of London,inequality
69,2012-10-24,"Birmingham council women can launch equality compensation claims, Supreme court rules – video",inequality
70,2012-10-23,"'Feminists' or not, we can all tackle inequality",inequality
71,2012-10-09,Is office harassment really a thing of the past?,inequality
72,2012-09-22,Voices from the vanishing middle: 'We can't look beyond pay day',inequality
73,2012-08-10,London 2012: not all Olympians compete on an equal footing,inequality
74,2012-07-30,Letters: Multicultural realities of our colonial past,inequality
75,2012-06-11,Theresa May announces blanket ban on age discrimination of patients,inequality
76,2012-05-27,"Male corporate elite bars women's way to top, says study of headhunters",inequality
77,2012-05-18,Letters: Men and sexism,inequality
78,2012-04-16,Letter: Titanic inequality,inequality
79,2012-03-30,Women paying the price for Osborne's austerity package,inequality
80,2012-03-20,Councils' blind gamble with equality,inequality
81,2012-03-13,Women absent from boards of one in 10 top UK companies despite campaign,inequality
82,2012-03-08,Letters: Double standards on affirmative action,inequality
83,2012-03-08,"Women make gains in boardrooms worldwide, but US still lags behind",inequality
84,2012-03-08,International Women's Day highlights hurdles obstructing equality,inequality
85,2012-03-08,Sexist remarks and wolf-whistles could become criminal offences,inequality
86,2012-03-07,Letters: It's time for a more women law,inequality
87,2012-03-02,Affirmative action and the real enemy of education equality | Gary Younge,inequality
88,2012-02-24,Affirmative action and the enemies of diversity | Kevin Powell,inequality
89,2012-02-24,Marriage equality and the civil rights inheritance | Gary Younge,inequality
90,2012-01-24,Why the sudden interest in top pay?,inequality
91,2012-01-23,Pay freeze to last until 2020 for millions,inequality
92,2012-01-03,Only a change of culture will help minorities to advance their careers,inequality
93,2013-12-29,Equality investigation will expose the plight of low-paid cleaners,inequality
94,2013-12-08,Caroline Criado-Perez: 'I don't know if I had a kind of breakdown',inequality
95,2013-11-07,"Gender pay gap: government should lead by example, says Maria Miller",inequality
96,2013-11-06,"Letters: From today, women work for free",inequality
97,2013-10-26,Natascha McElhone: it's time to find an app for gender equality,inequality
98,2013-10-09,Letters: Seeking equality for women and children,inequality
99,2013-08-17,"Jazz fan, hipster and a leftwing hero; the remarkable journey of Stuart Hall",inequality
100,2013-07-23,"Malala Day is important for girls in the UK, too",inequality
101,2013-07-22,Gabby Logan: I was told off by BBC executive for wearing high heels,inequality
102,2013-07-18,Cameron joins criticism of Muirfield for men-only stance,inequality
103,2013-07-14,Government accused of dismantling equity laws,inequality
104,2013-06-26,Female classroom staff in Dumfries and Galloway win equal pay court fight,inequality
105,2013-06-01,Super-rich on rise as number of £1m-plus earners doubles,inequality
106,2013-06-01,Equality reforms condemned by Lib Dem taskforce,inequality
107,2013-05-17,Ukip donor brands women 'hostile' for wearing trousers,inequality
108,2013-05-16,Government criticised over efforts to safeguard civil partnership bill,inequality
109,2013-05-12,"Government cuts threaten gender equality gains, warns report",inequality
110,2013-04-30,Danielle Allen: Equity not equality | Randeep Ramesh,inequality
111,2013-04-15,British Asians to protest against caste discrimination outside parliament,inequality
112,2013-02-26,Women and power: the revolution of rising expectations | Michael White,inequality
113,2013-01-29,"Firms should reveal their ethnic mix, says Tory MP",inequality
114,2014-11-21,"Equality battles past, present and future | @guardianletters",inequality
115,2014-11-13,Women’s age bias goes beyond the BBC | @guardianletters,inequality
116,2014-10-14,From ancient castles to mega-yachts: what history teaches us about the super-rich,inequality
117,2014-08-18,Mothers' names to be added to marriage registers in England & Wales,inequality
118,2014-07-25,"Gender bias, political exclusion, vested interests – find it here | @guardianletters",inequality
119,2014-07-19,"Phwoar-der, phwoar-der! Tory men tread the 'Downing Street catwalk'",inequality
120,2014-07-15,Have you ever felt disadvantaged by your accent in Britain? Share your stories and experiences,inequality
121,2014-07-15,Nicky Morgan's gay-marriage stance causes equalities role confusion … again,inequality
122,2014-07-10,British Dance Council bids to ban same-sex couples from the ballroom,inequality
123,2014-06-22,"Sun, sand and inequality: why the British seaside towns are losing out",inequality
124,2014-06-07,Gender pay gap hits middle-earning women hardest,inequality
125,2014-04-23,Nick Clegg's wife hails 'cojones' of men who do childcare,inequality
126,2014-04-15,Sheryl Sandberg 'does more than her fair share of childcare',inequality
127,2014-04-15,Low pay is not a necessary evil | Anne Perkins,inequality
128,2014-04-12,Does Westminster have a problem with women?,inequality
129,2014-03-16,Inequality 'costs Britain £39bn a year',inequality
130,2014-03-11,Why I'll be voting yes to Scottish independence | Bob Holman,inequality
131,2014-03-08,"Many 'self-employed' women get by on less than £10,000 a year",inequality
132,2014-02-15,"'One in, one out' for female directors at top UK companies",inequality
133,2014-02-02,Being a Man festival explores what it means to be male,inequality
134,2015-12-29,Stories of 2015: the barrister branded a 'feminazi' in LinkedIn sexism row,inequality
135,2015-11-22,Women failing driving tests far more than men – but are still safer drivers,inequality
136,2015-10-13,"Wealth divide among parents is creating greater child inequality, study finds",inequality
137,2015-10-13,"Dear sirs, gender quotas are all about you now",inequality
138,2015-10-09,"Quotas needed to help women enter politics, says Nicola Sturgeon",inequality
139,2015-09-30,Gender inequality and the cost of women’s burden of care | Letters,inequality
140,2015-09-06,Fawcett Society: government must take action to address gender pay gap,inequality
141,2015-08-17,Jasmer Singh Rai obituary,inequality
142,2015-08-11,'Look like a girl … think like a man': Bic causes outrage on national women's day,inequality
143,2015-07-26,Black and minority ethnic Britons ‘worse off’ after budget,inequality
144,2015-07-21,Gypsy police officers band together to beat prejudice in the force | Duncan Campbell,inequality
145,2015-07-15,The bigger picture behind the gender pay gap issue  | Letters from Margaret Prosser and Petra Wilson of the Chartered Management Institute,inequality
146,2015-07-14,Closing Britain's gender pay gap will take more than David Cameron's audit,inequality
147,2015-07-14,Government undecided on how to present UK gender gap figures,inequality
148,2015-07-13,David Cameron to force companies to disclose gender pay gaps,inequality
149,2015-07-03,Barbara Bagilhole obituary,inequality
150,2015-06-30,Labour demands equal wage checks to reduce gender pay gap,inequality
151,2015-06-10,The rainbow revolution in the military –  from dishonourable discharge to model employer,inequality
152,2015-05-28,"Women disproportionately affected by austerity, charities warn",inequality
153,2015-05-09,French female journalists are fighting back against sexist politicians | Lénaïg Bredoux,inequality
154,2015-04-11,"Ooh, you were awful: why I can’t look back on the sexist 70s with kindness",inequality
155,2015-04-08,Why I have to stand against Iain Duncan Smith in the general election | Lisa McKenzie,inequality
156,2015-03-18,Northern Ireland’s equality tsar: equal treatment is an article of faith,inequality
157,2015-03-10,50% rise in long-term unemployment for young ethnic minority people in UK,inequality
158,2015-02-11,Vanishing act by working-class novelists and actors | Letters,inequality
159,2015-01-20,"Lessons on inequality, from Piketty to Pharaoh | Letters",inequality
160,2016-12-16,"Privilege check on the pale, stale male | Letters",inequality
161,2016-12-05,Let’s praise Stephen Hawking for egalitarian plea | Letters,inequality
162,2016-11-19,Austerity effect hits women ‘twice as hard as it does men’,inequality
163,2016-10-27,UK boardrooms still blighted by gender inequality | Letters,inequality
