,Date,Content,Section
0,2010-12-23,Microapps and the Art of Widget Maintenance,info
1,2010-12-22,The big freeze: notes on Release 103,info
2,2010-12-16,Switching to Google-hosted jQuery,info
3,2010-12-14,Exploiting open and linked data at Online Information 2010,info
4,2010-12-13,New 'British soldiers killed in Afghanistan' interactive with Javascript,info
5,2010-12-09,Six things I've learned about web development working at the Guardian,info
6,2010-12-08,The everlasting permalink,info
7,2010-12-03,Notes on Release 102,info
8,2010-12-02,Welcome to the Guardian Developer Blog,info
9,2010-11-08,The story behind the redesign of Guardian Jobs,info
10,2010-11-02,From Publisher to Platform: 14 ways to get benefits from social media,info
11,2010-10-18,Adding Linked Data to the Open Platform,info
12,2010-10-18,Adding 'references' to the API,info
13,2010-10-18,A guide to querying 'references' in the Content API,info
14,2010-09-22,Announcing Scale Camp 2010,info
15,2010-09-10,Notes from dConstruct 2010,info
16,2010-07-07,Terms of use for embedding Guardian videos on third party sites,info
17,2010-06-17,World Cup instant Twitter replay: how we did it,info
18,2010-04-30,"Calculating the swing, marginality and targets for constituencies",info
19,2010-04-21,How we built the UK national carbon calculator,info
20,2011-12-23,US Debt: The American economy in crisis ebook,info
21,2011-12-21,Civil Unrest: Rioting in our cities ebook,info
22,2011-12-21,Jazz: From New Orleans to the new generation ebook,info
23,2011-12-15,"December's ""Carnival of journalism"" round-up",info
24,2011-12-15,Reading the Riots: Investigating England's summer of disorder ebook,info
25,2011-12-08,Behind the rumours: how we built our Twitter riots interactive,info
26,2011-12-07,Music Hack Day London 2011: a developer's view,info
27,2011-11-30,Guardian Spotify app: FAQ,info
28,2011-11-30,Guardian launches music reviews app for Spotify,info
29,2011-11-29,Goodbye to the Guardian's TagBot,info
30,2011-11-26,Terms and conditions,info
31,2011-11-24,Join in December's Carnival of journalism,info
32,2011-11-15,Business:designed,info
33,2011-11-15,My Favourite Album: Best of the Guardian blog ebook,info
34,2011-11-15,Who's Who? The Resurrection of the Doctor ebook,info
35,2011-11-11,Live blogging research,info
36,2011-11-04,Guardian Travel goes for a Scroll,info
37,2011-11-02,Guardian Eyewitness iPad app updated,info
38,2011-10-27,n0tice.com,info
39,2011-10-26,Guardian Travel Search,info
40,2011-10-24,Where in the world?,info
41,2011-10-24,Guardian series reader,info
42,2011-10-21,The Long Good Read,info
43,2011-10-21,About Guardian beta,info
44,2011-10-21,The Guardian big screen experience,info
45,2011-10-14,How to write fiction: A Guardian masterclass ebook,info
46,2011-10-06,Terms and conditions for submitting reader content to our print publications,info
47,2011-10-03,Guardian News & Media Freelance Charter: revision history,info
48,2011-09-22,The Guardian Facebook app terms of service,info
49,2011-09-22,Guardian Facebook app: FAQ,info
50,2011-09-16,Guardian Android app now lets you save to SD card - an explainer,info
51,2011-09-11,9/11: Ten Years On ebook,info
52,2011-09-02,UX drop-in and EuroIA Predux events at the Guardian,info
53,2011-08-02,Introducing the Guardian's new music album pages,info
54,2011-07-27,Agit – a Git client for Android,info
55,2011-07-11,Developer drop-ins continue through the summer,info
56,2011-07-06,From 'Social by design' to 'Social workers of technology' - UPA 2011,info
57,2011-07-04,Notes on Release 115,info
58,2011-06-23,Developing the new artist pages,info
59,2011-06-21,Hactivate: A participant's perspective,info
60,2011-06-13,Notes on Releases 113 & 114,info
61,2011-06-03,Drop-ins: Phase II,info
62,2011-06-01,(H)activate 2011: come and join us,info
63,2011-05-31,Knight-Mozilla News Innovation Jam,info
64,2011-05-24,"So long, IE6, it's the end of testing times",info
65,2011-05-18,Developer drop-ins: half time report,info
66,2011-05-16,Knight-Mozilla News Innovation Jam,info
67,2011-05-13,Notes on Release 112,info
68,2011-05-10,The experience of a developer drop-in,info
69,2011-05-05,Notes on Release 111,info
70,2011-04-26,Developer drop-in events,info
71,2011-04-18,Scala at guardian.co.uk,info
72,2011-04-13,Cennydd Bowles predicts a rocky road ahead for UX at the Denver IA Summit,info
73,2011-04-11,Introducing developer drop-ins,info
74,2011-04-08,Notes on Release 110,info
75,2011-04-05,National Hack the Government Day 2011,info
76,2011-03-31,Hacks and Hackers: ScraperWiki day,info
77,2011-03-24,Notes on Release 109,info
78,2011-03-15,Getting noticed in the iTunes App Store,info
79,2011-03-14,The SXSW Tumblr tracker,info
80,2011-03-11,SXSW 2011: How we made our interactive band tracker,info
81,2011-03-11,Notes on Release 108,info
82,2011-03-09,Questions in search of an answer,info
83,2011-03-04,Notes on Release 107,info
84,2011-03-03,Why we built our automated SXSW listings pages - Part two,info
85,2011-03-01,Why we built our automated SXSW listings pages,info
86,2011-02-28,Guardian Unlimited Talkboard closure,info
87,2011-02-25,Things I wish I'd known before the Guardian Hacks SXSW event,info
88,2011-02-18,Notes on Release 106,info
89,2011-02-17,Technology bursary 'opened my eyes',info
90,2011-02-17,How we created our SXSW music listings pages,info
91,2011-02-14,"Site performance, every little helps",info
