,Date,Content,Section
0,2010-12-29,Police demand new powers to stop and search terror suspects,law
1,2010-12-28,Aso Mohammed Ibrahim case sparks another misguided attack on the Human Rights Act,law
2,2010-12-26,"Legal aid cuts will hit women the hardest, says justice department",law
3,2010-12-25,Babybarista: Merry Christmas*,law
4,2010-12-23,Eddie Gilfoyle free after maintaining innocence for 18 years in jail,law
5,2010-12-22,James Pickles obituary,law
6,2010-12-22,"Judge James Pickles dies, aged 85",law
7,2010-12-22,Jon Robins | Big hurdles to leap as big business eyes entry to legal aid sector,law
8,2010-12-21,Guardian Law's legal team recommends the best reads (and film) of 2010,law
9,2010-12-21,"Deadlock as Nick Clegg blocks control orders compromise, says Lord Carlile",law
10,2010-12-21,"When filling judges' benches, we need to solicit more solicitors | Neil Rose",law
11,2010-12-21,Lord Judge's interventions in politics have not overstepped the line,law
12,2010-12-20,Barristers should be allowed to give their opinions on ongoing cases | Michael Mansfield,law
13,2010-12-20,The dilemmas of courtroom tweeting  | Afua Hirsch,law
14,2010-12-20,Tweeting allowed in court| Geoffrey Bindman's legal hero | Pudding-theft,law
15,2010-12-19,US execution drugs supplied secretly by British companies,law
16,2010-12-17,WikiLeaks cables lay bare US hostility to international criminal court,law
17,2010-12-17,"US criticises court that may decide on Julian Assange extradition, WikiLeaks cables show",law
18,2010-12-17,US embassy cables: Poles complain as Jagland elected head of Council of Europe,law
19,2010-12-17,US embassy cables: US sought to press new EU chief on rendition,law
20,2010-12-17,"US embassy cables: European human rights body 'an irritant', says US diplomat",law
21,2010-12-17,Q&A: Ireland's position on abortion following human rights ruling,law
22,2010-12-17,Let's not reject the European arrest warrant – it can be made to work | Cian Murphy,law
23,2010-12-17,Not quite black and white: the truth about City law firms and diversity,law
24,2010-12-16,More muscular parliament would make for better lawmaking | Joshua Rozenberg,law
25,2010-12-16,Letters: Misuse of the European arrest warrant,law
26,2010-12-15,The European court of justice must clarify position on terrorist sanctions regime | Cian Murphy,law
27,2010-12-15,Tweeting in court: why reporters must be given guidelines,law
28,2010-12-15,My legal hero: John Lilburne | Geoffrey Bindman,law
29,2010-12-15,Letters: Sentencing reform may be thwarted,law
30,2010-12-14,Twitter allowed during bail hearing,law
31,2010-12-14,Qatar: A centre for 'quality' international dispute resolution?| Neil Rose,law
32,2010-12-13,"Paul Allen's patent case against Facebook, Apple and Google thrown out - for now",law
33,2010-12-13,The legal aid helpline should not be another hurdle for the vulnerable | Jon Robins,law
34,2010-12-13,Theresa May should consider freedom of speech before banning pastor | Adam Wagner,law
35,2010-12-13,"The Bundle: If Sweden doesn't get Assange, will America?",law
36,2010-12-10,Newspapers challenge secrecy of extradition process in court,law
37,2010-12-10,Time for legal profession to lay down the law over training | Alex Aldridge,law
38,2010-12-10,My legal hero: Robert F Kennedy | Patricia Scotland,law
39,2010-12-09,Judgment reserved in murder appeal as forensic evidence divides experts,law
40,2010-12-09,Treasury's plans for tax avoidance rule sound like fantasy | Joshua Rozenberg,law
41,2010-12-08,Julian Assange's extradition: what happens next?,law
42,2010-12-08,This green paper on sentencing is to be welcomed | David Thomas,law
43,2010-12-07,Kenneth Clarke to tear up rules on fixed jail terms for murderers,law
44,2010-12-07,"British businessman, 72, pleads guilty in US to role in bribery scandal",law
45,2010-12-07,Fibres under spotlight as evidence re-examined in murder appeal,law
