,Date,Content,Section
0,2010-10-18,Video: Activate 2010: Jan Chipchase,media-network
1,2010-10-18,Video: Activate 2010: Joe Cerrell,media-network
2,2010-10-17,Video: Activate 2010: Clay Shirky,media-network
3,2010-10-17,Video: Activate 2010: Desiree Miloshevic,media-network
4,2010-10-11,Video: Activate 2010: Nigel Shadbolt,media-network
5,2010-10-11,Video: Activate 2010: Paul Watson,media-network
6,2010-10-11,Video: Activate 2010: Peter Edwards,media-network
7,2010-10-10,Video: Activate 2010: Derek McAuley,media-network
8,2010-10-04,Video: Activate 2010: Rose Shuman,media-network
9,2010-10-04,Video: Activate 2010: David Cavallo,media-network
10,2010-10-04,Video: Activate 2010: Andrew Dunnet,media-network
11,2010-10-04,Video: Activate 2010: Nick Moon,media-network
12,2010-10-04,Video: Activate 2010: David Craig,media-network
13,2010-09-27,Video: Activate 2010: Katrin Verclas,media-network
14,2010-09-27,Video: Activate 2010: Gaurav Mishra,media-network
15,2010-09-27,Video: Activate 2010: Ethan Zuckerman,media-network
16,2010-09-20,Video: Activate 2010: Future generations,media-network
17,2010-09-13,Video: Activate 2010: Stephen King,media-network
18,2010-09-13,Video: Activate 2010: Steven Clift,media-network
19,2010-09-13,Video: Activate 2010: Nigel Shadbolt,media-network
20,2010-09-13,Video: Activate 2010: Martha Lane Fox,media-network
21,2010-09-13,Video: Activate 2010: Beth Simone Noveck,media-network
22,2010-09-06,Video: Activate 2010: Stefana Broadbent,media-network
23,2010-09-06,Video: Activate 2010: Mike Mugurski,media-network
24,2010-09-06,Video: Activate 2010: Sobia Hamid,media-network
25,2010-09-06,Video: Activate 2010: Caroline Diehl,media-network
26,2010-08-30,Video: Activate 2010: Robin Blandford,media-network
27,2010-08-30,Video: Activate 2010: Matt Stinchcomb,media-network
28,2010-08-30,Video: Activate 2010: Danny O'Brien,media-network
29,2010-08-30,Video: Activate 2010: Sharon Biggar,media-network
30,2010-08-23,Video: Activate 2010: The VC pitching day panel,media-network
31,2010-08-23,Video: Activate 2010: Victor Henning,media-network
32,2010-08-17,Video: Activate 2010: Ethan Zuckerman,media-network
33,2010-08-16,Video: Activate 2010: Juliana Rotich,media-network
34,2010-08-16,Video: Activate 2010: Aubrey de Grey,media-network
35,2010-08-16,Video: Activate 2010: Georgia Arnold,media-network
36,2010-08-16,Video: Activate 2010: Jamais Cascio,media-network
37,2010-08-09,Video: Activate 2010: Extended highlights,media-network
38,2010-08-09,Video: Highlights from the 2010 Activate conference,media-network
39,2010-07-02,"Video: Eric Schmidt talks about threats to Google, paywalls and the future at  Guardian Activate 2010",media-network
40,2010-07-02,Video: Google chief Eric Schmidt gives keynote speech at Guardian Activate 2010,media-network
41,2010-06-22,"Video interview with Robin Blandford, Decisions for Heroes",media-network
42,2010-03-19,"Video: Matt Webb, Schulze &amp; Webb",media-network
43,2010-03-15,"Video: Andy Baio, Waxy.org",media-network
44,2010-03-08,"Video: James Alexander, Zopa and Green Thing",media-network
45,2010-02-11,"Video: Liz Ratcliffe, Ordnance Survey",media-network
46,2010-02-02,"Video: Matt Locke, Channel 4",media-network
47,2010-01-11,Video: Political panel discussion,media-network
48,2010-01-11,"Video: Adam Afriyie, shadow minister for science and innovation",media-network
49,2010-01-07,"Video: Tom Watson, former minister for transformation",media-network
50,2011-12-22,Activate New York 2012: Supporters and partners,media-network
51,2011-12-21,Microsoft talk mobile and future technology,media-network
52,2011-12-21,Exploring the implications of augmented reality for advertisers,media-network
53,2011-12-21,Mobile commerce will revolutionise the way people shop,media-network
54,2011-12-21,Location case studies: introducing n0tice,media-network
55,2011-12-21,Location case studies: introducing Yelp,media-network
56,2011-12-21,"Mobile couponing will drive growth in retail, says Buckley",media-network
57,2011-12-21,Scott Seaborn demonstrates the power of mobile marketing,media-network
58,2011-12-21,Tom Johnson introduces Betfair's mobile commerce strategy,media-network
59,2011-12-14,"Increased connectivity will help build UK economy, says Swantee",media-network
60,2011-12-14,What can be done to empower the next generation of mobile innovators?,media-network
61,2011-12-14,Is it possible to rethink the way we approach personal data?,media-network
62,2011-12-02,"Amanda MacKenzie, chief marketing and communications officer, Aviva",media-network
63,2011-12-02,"Floris Cobelens, global head of digital, Heineken",media-network
64,2011-12-02,"Claudio Annicchiarico, head of digital, Fiat UK",media-network
65,2011-11-08,Changing Advertising Summit 2011: David Gates,media-network
66,2011-11-08,Changing Advertising Summit 2011: Andy Hood,media-network
67,2011-11-07,Changing Advertising Summit 2011: Daryl Fielding,media-network
68,2011-10-28,Changing Advertising summit 2011: Jenny Ashmore,media-network
69,2011-10-28,Changing Advertising Summit 2011: Eric Bader,media-network
70,2011-10-28,Changing Advertising Summit 2011: Richard Ayers,media-network
71,2011-10-25,Activate: (h)Activate winner Gareth Lloyd on his trip to India to work on an EWBUK project,media-network
72,2011-09-29,Changing Media Summit 2012: Programme news,media-network
73,2011-08-22,Activate 2011: Blog: Connectivity equals productivity,media-network
74,2011-07-26,Activate 2011: Blog: Web Activism: The great leveller,media-network
75,2011-06-30,Activate: (H)activate,media-network
76,2011-06-29,Activate London 2011: Gallery,media-network
77,2011-06-06,Activate New York 2011: Testimonials,media-network
78,2011-05-17,Activate Summit: press coverage,media-network
79,2011-04-26,"Activate 2011: Robert Kirkpatrick, director, UN Global Pulse",media-network
80,2011-04-26,"Activate 2011: Chris Thorpe, director, Artfinder",media-network
81,2011-04-11,Activate New York 2011: Benjamin Bratton,media-network
82,2011-03-29,Activate New York 2011: Jason Clay,media-network
83,2011-03-18,Activate New York 2011: Craig Newmark,media-network
84,2011-03-18,Activate New York 2011: Victor Henning,media-network
85,2011-03-18,Activate New York 2011: Carlo Ratti,media-network
86,2011-02-04,Activate New York 2012: Essential information,media-network
87,2011-02-04,Activate New York 2011: Programme,media-network
88,2011-02-04,Activate New York 2012: What is Activate,media-network
89,2011-02-04,Activate New York 2011: Who should attend?,media-network
90,2013-01-02,Richard Peers discusses Windows Phone at the Mobile Business Summit - video,media-network
91,2013-01-02,The price of progress,media-network
92,2013-01-02,Festive season continues to push digital boundaries and drive mobile adoption,media-network
93,2013-01-02,The end of Newsweek - the digital mass extinction event,media-network
94,2013-01-02,Didlr case study: shifting from mobile platforms to mobile consumers - video,media-network
95,2012-12-22,Make or break: will Christmas save retail?,media-network
96,2012-12-21,Information security: are you leaving your company exposed?,media-network
97,2012-12-21,"Training in information security is vital, provided it's done right",media-network
98,2012-12-21,Data privacy predictions for 2013: a greater stress on personal responsibility,media-network
99,2012-12-21,Technology paves way for experiential shopping: are retailers ready?,media-network
100,2012-12-21,What's the fuss about a new UK domain? Don't miss out on your say,media-network
101,2012-12-20,Instagram's growing pains,media-network
102,2012-12-19,Q&A: mobile advertising,media-network
103,2012-12-19,Are brand campaigns facing an automated future?,media-network
104,2012-12-19,Why big data means big business for online retailers,media-network
105,2012-12-19,The path to innovation and the road to recovery,media-network
106,2012-12-18,Knowledge Capitalism gone wrong,media-network
107,2012-12-17,For those who don't believe in a 'mobile only' future...,media-network
108,2012-12-17,Dunnhumby co-founder Clive Humby on state of big data - video,media-network
109,2012-12-17,The Onion's director of digital on the future of media - video,media-network
110,2012-12-17,The value of a secure .uk namespace – Nominet's .uk consultation,media-network
111,2012-12-14,What will 5G mean for mobile?,media-network
112,2012-12-13,Mobility's relationship with connectivity – on and off,media-network
113,2012-12-13,Mobile-Only episode 03: 'A Connectivity Carol' - video,media-network
114,2012-12-13,Ordinary people must have a say in deciding the future of the web,media-network
115,2012-12-13,Securing the unwired world,media-network
116,2012-12-13,Poor security can cause lasting damage to your enterprise,media-network
117,2012-12-13,Five trends that will reinvent your approach to cyber risk in 2013,media-network
118,2012-12-13,Women's Aid ad uses split-screen 3D to make viewers choose what they see,media-network
119,2012-12-13,Changing Media Summit: Programme,media-network
