,Date,Content,Section
0,2010-12-30,Bah humbug to the Treasury,public-leaders-network
1,2010-12-30,A tumultous year,public-leaders-network
2,2010-12-29,Big society wallpaper,public-leaders-network
3,2010-12-29,Venturing out into other sectors,public-leaders-network
4,2010-12-24,Q&A round-up: What is localism and what does it mean for you?,public-leaders-network
5,2010-12-24,Tonino Ciuffini: using cost effective channels protects services,public-leaders-network
6,2010-12-23,Is your leadership compatible with coalition government policy?,public-leaders-network
7,2010-12-22,Exposing the data flow,public-leaders-network
8,2010-12-22,Data-handling: the ICO sends out a stern message to the public sector,public-leaders-network
9,2010-12-22,Calling in the debts,public-leaders-network
10,2010-12-21,Whitehall slammed for its use of consultants,public-leaders-network
11,2010-12-20,Planners welcome local control over fees,public-leaders-network
12,2010-12-17,Q&A round-up: How to become a local government consultant,public-leaders-network
13,2010-12-17,The shared network approach,public-leaders-network
14,2010-12-16,The purpose of planning,public-leaders-network
15,2010-12-16,Government business managers appointed,public-leaders-network
16,2010-12-16,Homer's odyssey around Whitehall,public-leaders-network
17,2010-12-15,Unemployment counselling and social match-up,public-leaders-network
18,2010-12-15,The case for greater devolution,public-leaders-network
19,2010-12-14,Council cuts: a strategic approach is imperative,public-leaders-network
20,2010-12-09,Stop tinkering with the machinery of government,public-leaders-network
21,2010-12-08,Q&A round-up: How to use social media to engage with your community,public-leaders-network
22,2010-12-08,Total environment: total savings,public-leaders-network
23,2010-12-06,Healthcare: managing the burden,public-leaders-network
24,2010-12-03,Pay in the public sector,public-leaders-network
25,2010-12-02,Q&A round-up: How to prepare for redundancy in local government,public-leaders-network
26,2010-12-02,Labour's minimum wage voted best policy,public-leaders-network
27,2010-12-01,Procurement: where does the money go?,public-leaders-network
28,2010-12-01,Central Office of dis-information?,public-leaders-network
29,2010-12-01,Public services: the merger process,public-leaders-network
30,2010-11-30,Regional plans: developers challenge Pickles in court,public-leaders-network
31,2010-11-29,"'Recovery is a learning process, not a one-off programme'",public-leaders-network
32,2010-11-29,Quality control,public-leaders-network
33,2010-11-25,Why 'social brands' are the way forward for bodies,public-leaders-network
34,2010-11-25,The art of survival,public-leaders-network
35,2010-11-24,Another one bites the dust,public-leaders-network
36,2010-11-24,'Fairness over equality'?,public-leaders-network
37,2010-11-23,More snow and chaos on the way?,public-leaders-network
38,2010-11-22,Government spending: still more clarity needed,public-leaders-network
39,2010-11-22,The social enterprises' spinning wheel,public-leaders-network
40,2010-11-19,Government data: Spending on agency staff up 65% as recruitment frozen,public-leaders-network
41,2010-11-19,We have the technology,public-leaders-network
42,2010-11-18,Live Q&A: How to prepare for redundancy in local government,public-leaders-network
43,2010-11-18,Marketing: money well spent?,public-leaders-network
44,2010-11-17,The ailing NHS estate,public-leaders-network
45,2010-11-16,City's 'Bid' to clean up streets,public-leaders-network
46,2010-11-16,Social enterprises: 'seeing is believing',public-leaders-network
47,2010-11-15,Ethical leadership in hard times,public-leaders-network
48,2010-11-12,"'Chaos' in the family justice system, says PAC",public-leaders-network
49,2010-11-11,Property masterplans,public-leaders-network
50,2010-11-10,The nurturing of positive futures,public-leaders-network
51,2010-11-10,Bolton boy spreading love across the town,public-leaders-network
52,2010-11-09,Welcome to the local government network,public-leaders-network
53,2010-11-09,"Local Government Seminar: ""Big society"" and its role in local government",public-leaders-network
54,2010-11-09,Pressure on town planners,public-leaders-network
55,2010-11-08,"The NHS, it's a matter of trust",public-leaders-network
56,2010-11-04,"With Reclaim Social Work, Hackney Council could find itself leading a revolution",public-leaders-network
57,2010-11-04,Moving social workers to the front of the stage,public-leaders-network
