,Date,Content,Section
0,2011-01-01,Minister pledges an end to the housing price rollercoaster,society
1,2011-01-01,"Maternity care in UK on verge of breakdown, says top midwife",society
2,2011-01-01,Children's flu epidemic feared by doctors as virus escalates,society
3,2011-01-01,Riot at Ford open prison,society
4,2011-01-01,Riot police regain control of burning prison,society
5,2010-12-31,"Mothers put at risk by inferior overnight care, maternity chief warns",society
6,2010-12-31,The best age to become a mother – between 20 and 35,society
7,2010-12-31,Fresh wave of public sector job cut notices to arrive 'like confetti' after New Year,society
8,2010-12-31,Flu outbreak piles pressure on 'critical care' units,society
9,2010-12-31,Letters: Funding pressure on charities,society
10,2010-12-30,"Faith groups will not fill gaps left by spending cuts, warns Anglican bishop",society
11,2010-12-30,Flu deaths continue to rise,society
12,2010-12-30,Open letter from David Robinson to David Cameron,society
13,2010-12-30,We need an NHS for later life,society
14,2010-12-30,A dire 'big society' warning David Cameron would do well to heed,society
15,2010-12-30,"One in six people in the UK today will live to 100, study says",society
16,2010-12-30,World's first organ donor dies aged 79,society
17,2010-12-30,Charity chief says cuts could destroy David Cameron's 'big society',society
18,2010-12-30,Letters: Big society or beggar my neighbour?,society
19,2010-12-29,Thatcher stalwart Lord Fowler to head new Aids inquiry,society
20,2010-12-29,Is the 'big society' just a big joke?,society
21,2010-12-29,Midwife leader accuses GPs of discouraging home births,society
22,2010-12-29,"Flu cases up by almost 45% in a week, doctors report",society
23,2010-12-29,"Housing benefit cut could double homeless numbers, charities warn",society
24,2010-12-29,Flu cases up by 45% in a week,society
25,2010-12-29,"Affordable homes target 'will fall short by 19,000' new-builds",society
26,2010-12-29,NHS patient feedback bodies to be scrapped despite successes,society
27,2010-12-29,"Larger waistlines increase cancer risk, women warned",society
28,2010-12-28,"Winter flu outbreak has not yet reached  its peak, doctors warn",society
29,2010-12-28,Flu jab plan has Conservatives and Labour trading accusations,society
30,2010-12-28,A charity that puts vulnerable Scottish young people on the road to success,society
31,2010-12-28,Ministers under fire over flu vaccine,society
32,2010-12-28,Fears of flu epidemic grow as experts urge people to get jabs,society
33,2010-12-27,Feeling bloated? British men weigh a stone heavier than they did in 1986,society
34,2010-12-27,Letters: Protesting the cuts – the Uncut version,society
35,2010-12-26,£180m cut from regeneration plans for Tony Blair's flagship housing project,society
36,2010-12-26,Savage cuts hit lifeline services used by vulnerable,society
37,2010-12-25,Harsh reality of spending gap challenges vow to protect NHS,society
38,2010-12-25,"NHS staff cuts could cost lives, says nursing chief",society
39,2010-12-24,Freezing weather a matter of life and death for the homeless,society
40,2010-12-23,Flu surge alarms doctors as virus hits children,society
41,2010-12-23,Children in poverty 'as happy as more affluent classmates',society
42,2010-12-23,NHS Direct chief apologises over phone delays,society
43,2010-12-23,A fifth of all homeless people have committed a crime to get off the streets,society
44,2010-12-22,The world of chaos and violence facing sex workers,society
45,2010-12-22,Merseyside police: 'Sex workers are vulnerable. We want to protect them',society
46,2010-12-22,UK still behind for cancer survival,society
47,2010-12-22,IVF researchers favour single-embryo treatment,society
48,2010-12-21,"Girl, nine, benefits from UK's first IVF 'saviour sibling' therapy",society
49,2010-12-21,Society daily 21.12.10,society
50,2010-12-21,Letters: How to fight back against austerity cuts,society
51,2010-12-21,"Letters: Productivity, waste and new ways to empower the patient",society
52,2010-12-20,Jobcentre staff to hand out food vouchers,society
53,2010-12-20,Scientists conclude mouse virus does not cause ME,society
54,2010-12-20,How toddlers are saving troubled teenagers,society
55,2010-12-20,Society daily 20.12.10,society
56,2010-12-20,Bonus could be put to better use in climate of cuts,society
57,2010-12-20,Letters: Jury out on whether prison works,society
58,2010-12-19,Jenny Roberts obituary,society
59,2010-12-19,Broadband firms urged to block sex websites to protect children,society
60,2010-12-19,"NHS staff told to give up annual pay increments or 35,000 jobs will go",society
61,2010-12-19,Diabetes training to target errors over insulin dosages,society
62,2010-12-19,Charity for homeless tells people not to give money to beggars at Christmas,society
63,2010-12-19,Teenagers: Under their skins,society
64,2010-12-19,The end of jumpers for goal posts,society
65,2010-12-18,Letters: Tory society,society
66,2010-12-17,Woman jailed over retracted rape allegations to challenge conviction,society
67,2010-12-17,UN accused of risking women and children's health,society
68,2010-12-17,Doctors warn of flu crisis,society
69,2010-12-17,Government accused of 'shocking' scaling back of ambulance services,society
70,2010-12-17,Society daily 17.12.10,society
71,2010-12-17,US embassy cables: US assesses risks from Zimbabwe cholera outbreak,society
72,2010-12-17,NHS productivity 'has fallen every year since 2000',society
73,2010-12-17,"Tuberculosis thriving in 'Victorian' London, says expert",society
74,2010-12-16,Suffolk council accused of ignoring £100m 'overspend' on BT deal,society
75,2010-12-16,Society daily 16.12.10,society
76,2010-12-16,Reducing reoffending need not cost the earth,society
77,2010-12-16,Andrew Lansley vows to press on with controversial  NHS reforms,society
78,2010-12-16,More planning power for local communities?,society
79,2010-12-16,"Coalition wields axe over Christmas as 100,000 jobs to go by spring",society
80,2010-12-16,"For public sector workers, the long wait for news about jobs is nearly over",society
