,Date,Content,Section
0,2011-01-01,This week's new dance,stage
1,2011-01-01,This week's new comedy,stage
2,2011-01-01,This week's new theatre,stage
3,2010-12-31,A golden age for Britain's acting grande dames | Vanessa Thorpe,stage
4,2010-12-31,What to see: A new year special,stage
5,2010-12-29,Share your theatre memories of 2010,stage
6,2010-12-28,2010 in theatre: a year of surprises and songs,stage
7,2010-12-27,Matilda: Thank heaven for little girls,stage
8,2010-12-26,Arcola and Bush theatres move on to bigger London stages,stage
9,2010-12-26,Chase the Dream; Tales of Beatrix Potter — review,stage
10,2010-12-24,Step-by-step guide to dance: Yvonne Rainer,stage
11,2010-12-24,Noises off: Give to your theatre this Christmas,stage
12,2010-12-24,A Divine Christmas message,stage
13,2010-12-23,Looking up at Bristol Old Vic,stage
14,2010-12-23,We're still behind you! Why we'll never grow too old for pantomimes,stage
15,2010-12-22,In pursuit of US theatre's past perfect,stage
16,2010-12-22,The G2 panto: Snow White and the wiki witch,stage
17,2010-12-21,Richard Herring – review,stage
18,2010-12-21,The Little Boy Who Lost the Morning – review,stage
19,2010-12-21,Me and My Girl – review,stage
20,2010-12-21,Children's theatre trips needn't be a nightmare before Christmas,stage
21,2010-12-20,Potted Panto – review,stage
22,2010-12-20,Jim Jefferies – review,stage
23,2010-12-20,Aladdin – review,stage
24,2010-12-20,Walking tours are the real fringe theatre | Andy Field,stage
25,2010-12-19,The Winter's Tale – review,stage
26,2010-12-19,Boing! – review,stage
27,2010-12-19,Hansel and Gretel – review,stage
28,2010-12-19,Jack and the Beanstalk – review,stage
29,2010-12-19,Me and My Girl – review,stage
30,2010-12-19,Swallows and Amazons; Get Santa!; The Animals and Children Took to the Streets; A Flea in Her Ear – review,stage
31,2010-12-19,No Wise Men – review,stage
32,2010-12-19,The Nutcracker; Faeries; Peter and the Wolf/Tales of Beatrix Potter – review,stage
33,2010-12-18,This week's new dance picks,stage
34,2010-12-18,This week's new comedy,stage
35,2010-12-18,This week's new theatre,stage
36,2010-12-18,Pamela Anderson: 'I'm not talking about my boobs – that's very 1999',stage
37,2010-12-17,Alice Through the Looking Glass – review,stage
38,2010-12-17,The Animals and Children Took to the Streets – review,stage
39,2010-12-17,What to see: Lyn Gardner's theatre tips,stage
40,2010-12-17,Enrique Morente obituary,stage
41,2010-12-16,The Snow Queen – review,stage
42,2010-12-16,Flyboy Is Alone Again This Christmas – review,stage
43,2010-12-16,Snow White and the Seven Dwarfs – review,stage
44,2010-12-16,Jerry Seinfeld announces first UK gig since 1998,stage
45,2010-12-16,Noises off: The art of protest,stage
46,2010-12-16,Beasts and Beauties - review,stage
47,2010-12-15,Beauty and the Beast – review,stage
48,2010-12-15,Cinderella – review,stage
49,2010-12-15,Tim Minchin – review,stage
50,2010-12-15,UK's largest collection of memorabilia from musicals left to the V&A,stage
51,2010-12-15,Swallow the humbug and let Christmas theatre indulge your sweet tooth,stage
52,2010-12-15,Sheila Bain obituary,stage
53,2010-12-15,Theatre group 1927: 'We're still a little company',stage
54,2010-12-15,Jerry Seinfeld is making Colin Quinn mighty on Broadway,stage
55,2010-12-15,Does farce have a future on stage? | John M Morrison,stage
56,2010-12-15,A Flea in Her Ear - review,stage
57,2010-12-14,Faeries – review,stage
58,2010-12-14,Flyboy's shadow puppetry,stage
59,2010-12-14,"The Lion, the Witch and the Wardrobe – review",stage
60,2010-12-14,Jack and the Beanstalk – review,stage
61,2010-12-14,Angelos Epithemiou – review,stage
62,2010-12-14,Expressionism in theatre? Maybe it's something else | Matt Trueman,stage
63,2010-12-14,Review | Theatre | Get Santa! | Royal Court | Michael Billington,stage
64,2010-12-13,Sincerely Noël – review,stage
65,2010-12-13,Herding Cats – review,stage
66,2010-12-13,Burlesque is stripping for posh people,stage
67,2010-12-13,Jack and the Beanstalk – review,stage
68,2010-12-13,Burlesque: the daily grind,stage
69,2010-12-13,Dramatic destinations: around Britain in 61 plays,stage
70,2010-12-13,Alan Bennett reveals how pickpocket scam left him vulnerable,stage
71,2010-12-12,The Weather Factory – review,stage
72,2010-12-12,The Nutcracker – review,stage
73,2010-12-12,Robin Thornber obituary,stage
74,2010-12-12,Matthew Bourne's Cinderella – review,stage
75,2010-12-12,The Weather Factory – theatre review,stage
76,2010-12-12,Wilton's Vintage Christmas,stage
77,2010-12-12,"King Lear; Matilda, a Musical; Season's Greetings – review",stage
78,2010-12-12,David Copperfield – review,stage
79,2010-12-11,This week's new theatre,stage
80,2010-12-11,This week's new dance,stage
81,2010-12-11,This week's new comedy,stage
82,2010-12-10,No Wise Men – review,stage
83,2010-12-10,The King and I – review,stage
84,2010-12-10,Cinderella – review,stage
85,2010-12-10,What to see: Lyn Gardner's theatre tips,stage
86,2010-12-10,Noises off: Michael Billington gets the animation treatment,stage
87,2010-12-10,Matilda – review,stage
88,2010-12-09,Sex & Docks & Rock'n'Roll – review,stage
89,2010-12-09,Bea – review,stage
90,2010-12-09,Season's Greetings - review,stage
91,2010-12-08,The Wind in the Willows – review,stage
92,2010-12-08,The ex factor: West End pros feel the Heat of celebrity casting,stage
93,2010-12-08,King Lear - review,stage
94,2010-12-07,The Snow Queen – review,stage
95,2010-12-07,The Three Musketeers – review,stage
96,2010-12-07,Harry Shearer and Judith Owen's Holiday Singalong – review,stage
97,2010-12-07,A Christmas Carol – review,stage
98,2010-12-07,Geoffrey Wright obituary,stage
99,2010-12-07,Live and kicking: ballet's not dead yet | Judith Mackrell,stage
100,2010-12-06,Alistair McGowan: Mad about the Master,stage
101,2010-12-06,Last Night's TV: The Making of the Duchess of Malfi and American Dream,stage
102,2010-12-05,Cart Macabre – review,stage
103,2010-12-05,Dick Whittington and his Cat – review,stage
104,2010-12-05,My Dad's a Birdman; Beauty and the Beast; Les parents terribles; Alice in Wonderland | Theatre review,stage
105,2010-12-05,Tamara Rojo | interview,stage
106,2010-12-05,Cinderella: Royal Ballet; Birmingham Royal Ballet – review,stage
107,2010-12-05,Katherine Parkinson: 'I like stuff that's both harrowing and hilarious',stage
108,2010-12-05,Christmas family shows — roundup,stage
109,2010-12-05,When We Lived in Uncle's Hat – review,stage
110,2010-12-05,Ballet set to break out as 2011's most exciting art form,stage
111,2010-12-05,The Hunt for the Scroobious Pip – review,stage
112,2010-12-04,This week's new theatre,stage
113,2010-12-04,This week's new comedy,stage
114,2010-12-04,This week's new dance,stage
115,2010-12-04,The Cinderella art,stage
116,2010-12-04,"This Week: Julian Assange, @theashes, Brian Blessed",stage
117,2010-12-04,Black ballet: Pointe break,stage
118,2010-12-03,John Shuttleworth – review,stage
119,2010-12-03,Peppa Pig's Party – review,stage
120,2010-12-03,Romeo and Juliet – review,stage
121,2010-12-03,Jack and the Beanstalk – review,stage
122,2010-12-03,What to see: Lyn Gardner's theatre tips,stage
123,2010-12-02,Clog dancing's big street revival,stage
124,2010-12-02,Scouse Pacific – review,stage
125,2010-12-02,The Great Escape – review,stage
126,2010-12-02,Gatsby gives theatre a novel twist | Matt Trueman,stage
127,2010-12-02,Noises off: Forest Fringe is saved – for the moment – and cannibals aren't allowed to be gay | Chris Wilkinson,stage
128,2010-12-02,Beauty and the Beast - review,stage
129,2010-12-01,The Secret Garden – review,stage
130,2010-12-01,Experimental theatre is a work in progress – and needs support along the way | Lyn Gardner,stage
131,2010-12-01,Critical distance is a far-off fantasy,stage
132,2010-11-30,My Dad's a Birdman – review,stage
133,2010-11-30,Panto casts its spell on Hollywood,stage
134,2010-11-30,Can Spider-Man musical rise above the web onslaught?,stage
135,2010-11-30,Commercial theatre lacks the X factor | Matt Wolf,stage
136,2010-11-30,Les Parents Terribles - review,stage
137,2010-11-29,Rich Hall - review,stage
138,2010-11-29,Spider-Man left hanging on Broadway,stage
139,2010-11-28,The Cradle Will Rock – review,stage
140,2010-11-28,Rory Kinnear leads National's domination of London theatre awards,stage
141,2010-11-28,"Krapp, 39 – review",stage
142,2010-11-28,Jasmin Vardimon Company: 7734 – dance review,stage
143,2010-11-28,End of the Rainbow; The Invisible Man – reviews,stage
144,2010-11-28,Tim Minchin: 'I'm hugely outraged by proselytising charities',stage
145,2010-11-28,The Bacchae by Euripides – review,stage
146,2010-11-27,This week's new dance,stage
147,2010-11-27,This week's new comedy,stage
148,2010-11-27,This week's new theatre,stage
149,2010-11-26,It Had to Be You – review,stage
150,2010-11-26,Jasmin Vardimon – review,stage
151,2010-11-26,David Copperfield – review,stage
152,2010-11-26,What to see: Lyn Gardner's theatre tips,stage
153,2010-11-26,Street theatre: the drama of civil disobedience,stage
154,2010-11-25,Jason Manford – review,stage
155,2010-11-25,Coalition – theatre review,stage
156,2010-11-25,Kin – theatre review,stage
157,2010-11-25,Birmingham Royal Ballet: Cinderella – review,stage
158,2010-11-25,Mackenzie Taylor obituary,stage
159,2010-11-25,The great expressionist experiment: theatre seizes the essence of life,stage
160,2010-11-25,Royal Ballet heads to the O2,stage
161,2010-11-25,Stephen Sondheim is wrong about Noël Coward,stage
162,2010-11-25,Jason Manford on stage - review,stage
163,2010-11-24,HMS Pinafore – review,stage
164,2010-11-24,The Invisible Man – review,stage
165,2010-11-24,The Hunt for the Scroobious Pip – review,stage
166,2010-11-24,Noises off: Actors bust a gut (and a bed bug or two) to make ends meet,stage
167,2010-11-24,The thrust of the problem for the RSC's new stage,stage
168,2010-11-24,Shakespeare shake-up: the new-look RSC HQ in Stratford,stage
169,2010-11-23,Brian Logan on comedy and the news,stage
170,2010-11-23,RSC shows off £112m revamp,stage
171,2010-11-23,Alan Bennett: 'I've often wanted to be bolder',stage
172,2010-11-23,End of the Rainbow - review | Theatre | Michael Billington,stage
173,2010-11-22,Inside – review,stage
174,2010-11-22,Move over McIntyre: Kafka comics lead a standup revolution,stage
175,2010-11-22,Matthew Fox makes British theatre debut in Neil LaBute play,stage
176,2010-11-21,The Tin Soldier – review,stage
177,2010-11-21,Fela!; The Glass Menagerie; The Master Builder | Theatre review,stage
178,2010-11-21,Wayne McGregor/Random Dance: FAR | Dance review,stage
179,2010-11-21,Inheritance – review,stage
180,2010-11-20,This week's new dance,stage
181,2010-11-20,This week's new comedy,stage
182,2010-11-20,This week's new theatre,stage
183,2010-11-20,Ballets Russes Style: Diaghilev's Dancers and Paris Fashion by Mary E Davis – review,stage
184,2010-11-19,Fabrication – review,stage
185,2010-11-19,Compagnie Thor – review,stage
186,2010-11-19,Ellen Burstyn to star with Keira Knightly in West End debut,stage
187,2010-11-19,What to see: Lyn Gardner's theatre tips,stage
188,2010-11-19,Vast collection of theatre memorabilia finds university home,stage
189,2010-11-18,The Bacchae – review,stage
190,2010-11-18,Wayne McGregor: Random Dance – review,stage
191,2010-11-18,George Pensotti obituary,stage
192,2010-11-18,"Noises off: make no mistake, beer can promote good performance | Chris Wilkinson",stage
193,2010-11-18,"Swirls, splodges and a fat lady singing: Quentin Blake invades the Unicorn theatre",stage
194,2010-11-18,The Glass Menagerie - review,stage
195,2010-11-17,Joseph K – review,stage
196,2010-11-17,Full of promise but no prizes: women playwrights suffer for their age | Alexis Soloski,stage
197,2010-11-17,Fela! - review,stage
198,2010-11-16,Cinderella: you shall go to the bombing,stage
199,2010-11-16,Chekhov in Hell – review,stage
200,2010-11-16,In pictures: Sixty years of Cinderella at the ballet,stage
201,2010-11-15,When We Lived in Uncle's Hat – review,stage
202,2010-11-15,Charged – review,stage
203,2010-11-15,Mark Storor's For the Best: a feeling for death,stage
204,2010-11-15,Hungry Ghosts – review,stage
