,Date,Content,Section
0,2011-01-01,Marriage,theguardian
1,2011-01-01,Billy Bragg: Are you ready for the revolution?,theguardian
2,2011-01-01,"This Week: Elton John and David Furnish, Michael Gove, Neil Abercrombie",theguardian
3,2011-01-01,Good to Meet You … Nicola Lees,theguardian
4,2011-01-01,"From snowbound Blighty to sunny Kenya, courtesy of skittish airways",theguardian
5,2010-12-30,The readers' room: What you thought of G2 over the Christmas period,theguardian
6,2010-12-28,The very best companion there ever was,theguardian
7,2010-12-23,"From the archive, 23 December 1989: Celebration as a nation emerges from the dark",theguardian
8,2010-12-23,106th King William's College quiz,theguardian
9,2010-12-21,Graham Gwilliam obituary,theguardian
10,2010-12-21,"From the archive, 21 December 1955: Cardiff gains recognition as capital of Wales",theguardian
11,2010-12-21,Sheila Coates obituary,theguardian
12,2010-12-21,Griff Vaughan Williams obituary,theguardian
13,2010-12-21,The Rev Margaret Thrall obituary,theguardian
14,2010-12-20,"From the archive, 20 December 1907: Shops offer a great variety of Christmas gifts",theguardian
15,2010-12-19,Tom Richardson obituary,theguardian
16,2010-12-19,Stephen Pitt-Chambers obituary,theguardian
17,2010-12-18,Leaders and their mistresses | Bidisha,theguardian
18,2010-12-18,"The Saturday interview: Bill Bailey – 'It's genius, evil genius'",theguardian
19,2010-12-18,Good to meet you … Nigel Hetherington,theguardian
20,2010-12-18,"This Week: Jody McIntyre, Silvio Berlusconi, Hashim Thaçi",theguardian
21,2010-12-16,Leslie Gennery obituary,theguardian
22,2010-12-16,Lucile Denney obituary,theguardian
23,2010-12-15,Welcome to the Guardian Weekly's review of the year,theguardian
24,2010-12-14,"Hey, buddy: stay away from my girl",theguardian
25,2010-12-13,Heda Margolius Kovály obituary,theguardian
26,2010-12-13,Michael Arnold obituary,theguardian
27,2010-12-12,Tony Gruner obituary,theguardian
28,2010-12-12,John Kelly obituary,theguardian
29,2010-12-11,Burma on film | Bidisha,theguardian
30,2010-12-11,Jerry Hall: 'Mick served his purpose',theguardian
31,2010-12-11,A bad word is coming. You may want to look away now,theguardian
32,2010-12-11,"This Week: James Naughtie, Katia Zatuliveter, Min-Jin Kym",theguardian
33,2010-12-09,The readers' room: What you thought of G2 this week . . .,theguardian
34,2010-12-09,Ann Matthews obituary,theguardian
35,2010-12-08,Irene Sutton obituary,theguardian
36,2010-12-08,Learning English and more this December,theguardian
37,2010-12-07,Jean Elletson obituary,theguardian
38,2010-12-07,Bert Williams obituary,theguardian
39,2010-12-06,Dorothea Baker obituary,theguardian
40,2010-12-06,Bob Hammond obituary,theguardian
41,2010-12-05,David Sanders obituary,theguardian
42,2010-12-05,Margaret Gray obituary,theguardian
43,2010-12-04,An English win would've been hard to stomach,theguardian
44,2010-12-04,Good to meet you ... Wendy Weston,theguardian
45,2010-12-02,The readers' room: What you thought of G2 this week . . .,theguardian
46,2010-12-01,Kitty Leggett obituary,theguardian
47,2010-12-01,"From the archive, 1 December 1980: Camden's co-op and curry",theguardian
48,2010-11-30,Sheila Thorpe obituary,theguardian
49,2010-11-30,Wolfgang Lutz obituary,theguardian
50,2010-11-30,"We're great, but we're not perfect",theguardian
51,2010-11-29,Maurice Line obituary,theguardian
52,2010-11-28,John Jones obituary,theguardian
53,2010-11-28,Dan Mokonyane obituary,theguardian
54,2010-11-27,Ed Miliband is more of a wuss than I thought | Simon Hoggart's Week,theguardian
55,2010-11-27,Good to meet you ... Dirk Pilat,theguardian
56,2010-11-27,"This week: Bishop Broadbent, Ireland and Michael Gove",theguardian
57,2010-11-25,The readers' room: What you thought of G2 this week . . .,theguardian
58,2010-11-24,Elsa and Ron Wilson obituary,theguardian
59,2010-11-24,Chris Goudge obituary,theguardian
60,2010-11-24,Merryl Huxtable obituary,theguardian
61,2010-11-24,"From the archive, 24 November 1997: Hutchence death mystery deepens",theguardian
62,2010-11-23,Victor Curtis obituary,theguardian
63,2010-11-23,Anne Greaves obituary,theguardian
64,2010-11-23,I'll tell you what we want: Girl Power,theguardian
65,2010-11-22,Tim Carroll obituary,theguardian
66,2010-11-21,Richard Beckwith obituary,theguardian
67,2010-11-21,Bob Finestone obituary,theguardian
68,2010-11-20,"England win the Ashes: From the archive, 20 November 1986 | Jason Rodrigues",theguardian
69,2010-11-20,"This week: Theresa May, Prince William and Kate Middleton and the Arnolds",theguardian
70,2010-11-19,"Simon Hoggart's week: Father of the House? Forget it, Ed",theguardian
71,2010-11-19,Paul Tweddell obituary,theguardian
72,2010-11-19,"From the archive, 19 November 1956: Push-button shopping in the electronic store",theguardian
73,2010-11-18,The readers' room: What you thought of G2 this week . . .,theguardian
74,2010-11-18,"From the archive, 18 November 1997: Massacre at the temple",theguardian
75,2010-11-17,Brenda Macaskill obituary,theguardian
