,Date,Content,Section
0,2010-12-26,Laurent Gbagbo: Democratic martyr turned dictator | David Smith,theobserver
1,2010-12-19,Is Frankie Boyle actually funny? | The Debate,theobserver
2,2010-12-19,David Miliband: why he made the headlines in 2010,theobserver
3,2010-12-19,Janelle Monáe: why she made the headlines in 2010,theobserver
4,2010-12-19,Tom Hollander: why he made the headlines in 2010,theobserver
5,2010-12-19,Rory Kinnear: why he made the headlines in 2010,theobserver
6,2010-12-19,Amy Williams: why she made the headlines in 2010,theobserver
7,2010-12-19,David Nicholls: why he made the headlines in 2010,theobserver
8,2010-12-19,Brian Cox: why he made headlines in 2010,theobserver
9,2010-12-19,Michael Hastings: why he made the headlines in 2010,theobserver
10,2010-12-19,Gillian Duffy: why she made the headlines in 2010,theobserver
11,2010-12-19,Clare Balding: why she made the headlines this year,theobserver
12,2010-12-12,"The Alexander McQueen I knew, by Vogue journalist Harriet Quick",theobserver
13,2010-12-12,"The Kate McGarrigle I knew, by British singer-songwriter Linda Thompson",theobserver
14,2010-12-12,"The Beryl Bainbridge I knew, by her daughter",theobserver
15,2010-12-12,"The Louise Bourgeois I knew, by her assistant Jerry Gorovoy",theobserver
16,2010-12-12,"The Rose Gray I knew, by Alan Yentob",theobserver
17,2010-12-12,"John Sergeant: 'I tried retirement for a few weeks, but it didn't work out'",theobserver
18,2010-12-12,"The Mackenzie Taylor I knew, by comedian Hils Barker",theobserver
19,2010-12-12,"The Tony Curtis I knew, by director Nicolas Roeg",theobserver
20,2010-12-12,"The Claire Rayner I knew, by Helena Kennedy",theobserver
21,2010-12-05,Hamad bin Khalifa Al-Thani: Ambitious emir's World Cup win| Ian Black,theobserver
22,2010-11-28,Michael Gove: Minister on a learning curve | Gaby Hinsliff,theobserver
23,2010-11-28,Is The Archers guilty of national stereotyping?,theobserver
24,2010-11-28,Jonathan Agnew: 'I love winding up Geoffrey Boycott' | Interview,theobserver
25,2010-11-21,Nick Hornby: A champion for the written word | Profile,theobserver
26,2010-11-21,Debate: Is the royal wedding a cause for celebration?,theobserver
