,Date,Content,Section
0,2010-12-19,Travel turmoil as snow blankets Europe,weather
1,2010-12-18,Blizzards hit the UK,weather
2,2010-12-17,Europe under snow,weather
3,2010-12-02,The view from my window,weather
4,2010-05-20,PDA's Newsbucket,weather
5,2010-03-28,Chris Stewart on the relentless rain in Spain,weather
6,2010-03-28,"Eyewitness: Temperatures rise, Islamabad",weather
7,2010-02-12,Snow in Rome,weather
8,2010-02-07,Snow storm strikes Washington DC,weather
9,2010-01-07,Flooding in Paris in 1910,weather
10,2011-10-29,Snow storm hits many parts of north-eastern United States,weather
11,2011-02-02,Winter storms hit the US – in pictures,weather
12,2012-12-18,Bitter weather in Moscow - picture of the day,weather
13,2012-07-18,Freak summer storm hits New York,weather
14,2012-07-18,Forest fires rage in Tenerife and Greece - video,weather
15,2012-07-10,Rained off: weather sends more Britons abroad this summer,weather
16,2012-07-01,Power outages from deadly US storms could last days as heat wave continues,weather
17,2012-06-29,Surviving Colorado's wildfires: 'Nothing in there is important. I need to get out',weather
18,2012-02-29,Deadly tornado rips through American midwest – in pictures,weather
19,2012-02-05,Heaviest snowfall in decades wreaks havoc across Europe,weather
20,2012-02-02,"Groundhog Day: six more weeks of winter, Phil? Not so fast, say rivals",weather
21,2012-02-02,Punxsutawney Phil predicts six more weeks of winter at Groundhog Day festivities – in pictures,weather
22,2014-01-03,Snowstorm blankets parts of US north-east causing travel delays,weather
23,2013-12-13,Snowstorm brings havoc and hardship across Middle East,weather
24,2013-11-11,Test Live,weather
25,2013-09-18,"Mexico could be hit by more storms, warn weather forecasters",weather
26,2013-09-13,Test Live,weather
27,2013-06-22,India floods death toll rises – in pictures,weather
28,2013-05-31,"Tornadoes threaten Oklahoma, Arkansas",weather
29,2013-02-18,"Winter in Sakha, Russia - picture of the day",weather
30,2013-02-09,US north-east hit by power cuts as snow blankets New England,weather
31,2013-01-24,"Big chill shows it really can be too cold to snow, even on a warming planet | Harry J Enten",weather
32,2014-11-27,Brisbane storm damage – in pictures,weather
33,2014-09-05,Brazil drought crisis leads to rationing and tensions,weather
34,2014-07-30,Floods at the Verona arena hit Italian opera-goers,weather
35,2014-04-03,Colchester's atmospheric pollution levels are cause for concern,weather
36,2014-03-12,Nauru’s Australian chief justice resigns after ‘losing faith’ in the system,weather
37,2014-03-05,Sydney storm captured on Twitter,weather
38,2014-02-06,Winter storms: woman and her dog engulfed by wave in Ireland - video,weather
39,2014-01-17,One dead as bushfires rage in Victorian and South Australian - live,weather
40,2014-01-09,Niagara Falls freezes over in US cold snap - video,weather
41,2015-12-16,"Sydney storms: tornado, hail, wind and flash-flooding wreak havoc across city",weather
42,2015-11-05,Melbourne hit by tornadoes as storm brings chaos to Victoria,weather
43,2015-09-11,"More than 20 missing in Joso, north of Tokyo, after days of torrential rain",weather
44,2015-07-21,"Hot town, summer in the city: how to legally open a fire hydrant to keep cool",weather
45,2015-05-19,Nauru inquiry: immigration minister personally told of serious incidents,weather
46,2015-05-11,Nauru says Facebook block a 'temporary restriction' to keep public safe from 'sexual perverts',weather
47,2015-04-23,Guardian page,weather
